"state","grand_total_t_10m2","building_commercial_industrial","building_commercial_innercity","building_highrise","building_lightweight","building_multifamily","building_singlefamily","building_skyscraper","building","other_airport","other_parking","other_remaining_impervious","other","rail_bridge","rail_other","rail_railway","rail_subway_elevated","rail_subway_surface","rail_subway","rail","rail_tram","rail_tunnel","street_bridge_motorway","street_bridge_other","street_local","street_motorway_elevated","street_motorway","street_other_elevated","street_primary","street_secondary","street_tertiary","street","street_track","street_tunnel"
"US_IA",2299275407.7958,296051965.916649,11939357.1845503,1718135.12452698,68123987.3982644,27776878.3196335,524176009.108554,982566.2421875,930768965.971252,15510559.1181641,8095747.93315887,167846157.284668,191452467.608887,1774615.08880615,125516.972064972,84795602.1551514,0,0,0,86741651.4240417,9874.7216796875,36038.3199615479,5874261.27001953,9265306.65515137,543586818.937992,1570510.53826904,141021831.734619,1954120.22547913,59562432.0722656,127788476.689575,197549950.234547,1090312826.26777,1732655.76923406,406864.48474884
"US_ID",1096431496.81352,100270663.166889,2349951.06455612,329668.006774902,21338024.4695308,2786986.88288689,224746359.058434,17351.73828125,351838786.354659,14243259.6210938,7378405.25489044,52898415.354671,74520044.3834376,504893.775375366,749361.311538696,33914566.4969788,0,0,0,35381399.4268341,0,212588.892089844,1571038.87683105,2187651.32311249,429507714.270515,419083.687896729,69452123.5358887,461390.510156631,5698550.84840393,57400559.0146484,32334218.2913818,634690711.334053,35132942.3799496,525791.465332031
"US_IL",5158253697.39032,800853275.073898,36835850.2110119,19797215.0259628,154931458.605928,239106302.272337,1576255911.21486,54406085.765625,2882188641.48,35233884.0136719,25778847.2271881,606718073.888742,667730669.38093,5472397.77193832,1116284.94267273,172872242.385477,6076071.875,5088207.5,4419155.6875,196284703.315796,881.704406738281,1239435.42723846,13122087.0413818,9948175.40396118,806649684.257387,3504909.07281494,258696952.721191,2098141.45378113,45833701.5375977,146237314.446747,119993392.995335,1412051656.62901,2268794.64238071,3698475.76707458
"US_IN",3308218028.75079,522388839.580402,19902429.6464539,7335246.99078369,104569432.414548,155598010.248459,1044295938.43124,2548455.65625,1856638382.50448,24606765.8061733,19636665.6668992,301638029.051498,345881547.604233,1287020.99295044,999515.32723999,90210701.7094269,0,0,0,92771585.0569,0,274342.347381592,8632852.81176758,8087562.62626648,554879846.943032,2304812.0657959,159046881.587158,1705724.10697746,97501057.5410843,93209779.8734283,86069681.7723761,1012926798.30121,974630.237701416,513960.699516296
"US_KS",2102040455.14578,221347193.885794,4909169.03925705,824006.954760551,45386998.6142869,16154496.149559,430876968.329253,52933.84765625,719552320.607835,25750941.3774414,6524435.64321899,147568538.418438,179843939.19627,1418632.92428589,734607.478485107,96278540.341423,0,0,0,98645842.0025558,0,214058.838989258,7255597.37347412,7405513.63485336,742979403.187916,1934540.33657837,123950394.71582,1561877.02921581,45973635.614563,89188635.6743317,75344652.7077332,1103998799.21512,7968541.10617936,437041.95010376
"US_KY",2402377911.23587,261506344.746384,17722764.4211006,3287512.48244476,80287638.5232868,97126155.5952301,719676708.050125,1114035.37744141,1180721677.75406,18047300.6337891,14357272.8450356,174637023.764923,207041536.560764,1348873.51138306,248735.338432312,60629172.7241211,0,0,0,63049260.074646,0,822617.345825195,5675073.71518707,5624247.62564087,398095759.746483,1514149.03217506,147166872.715332,1186194.25912476,102750959.848511,72213403.1685791,214634359.688644,951566314.650597,1668016.850003,1037520.3283844
"US_LA",2025818921.27777,251815096.38974,23942933.9562683,3939054.01665878,87517948.4685458,51452511.6840858,407330327.401835,5838627.078125,831836507.077908,17787007.4212646,9254944.36616516,280933195.189703,307975246.472906,1709452.14807129,173252.905166626,60677377.5371246,0,0,0,62745689.2899475,185153.068603516,468.852966308594,26187161.0339355,9900801.87937164,380226232.55407,7000058.20010376,102557541.010742,2088147.97357368,64097481.9927063,69499209.4249344,159169306.628051,823261251.751361,2370625.79726481,164944.645568848
"US_MA",1945029764.52707,213742087.326813,44017833.2293015,18362706.5058594,51189732.7856669,134415705.649345,624790326.187503,10135137.3515625,1096652780.47075,11884210.5078125,24732642.0861816,332322772.042305,368939648.293739,814143.402130127,395224.06785965,24097008.3647461,239628.4140625,1458030.40625,5381682.703125,33797331.6343575,11606.1420898438,1400002.23535156,6090752.44726562,3532179.62299156,218130012.765727,1630797.21362305,95843629.2628174,744962.203166485,9802621.41699219,30730131.6250916,72963422.0417175,445640855.392606,2600925.92860508,3570910.08703613
"US_MD",1815057145.41328,244772723.565186,46463681.5257301,7286265.06793213,51262565.2896514,184153852.960695,596014179.160089,3296334.90625,1133250199.08554,12361446.7897949,34001017.6733551,128155431.485582,174517772.573931,1033413.10678101,721691.490081787,23026658.5238037,1033122.875,2990023.70019531,8375620.28125,38282800.7473755,8920.4130859375,1093296.61303711,7311343.76159668,4218402.19603348,237986477.609421,1958106.84281921,83905518.5917664,889691.349730492,42828197.6669006,36967294.4609985,48865438.4432373,469006510.891891,2483975.82163358,1592042.12749863
"US_ME",730302976.520142,46409770.5107574,4401857.71591187,1026857.49330139,16302904.9798546,14408563.2482605,189977374.178406,0,272527242.951599,7286174.3420639,7020110.71298218,74796159.3002071,89102406.4362774,391627.461845398,968944.002746582,22233293.9931641,0,0,0,23614791.5779419,1092.74743652344,19810.0952148438,1111190.0390625,1949414.80690002,184013603.047913,296483.284179688,39422804.8459473,411145.617595673,8199084.4407959,39100319.3417969,56360498.3901978,345058306.852417,14140546.3523445,53276.1268310547
"US_MI",4154288503.37285,593488240.461126,20641797.008625,6268221.88985825,122339640.709463,101619706.783245,1368558479.78477,4105843.625,2217021968.13666,35192515.9257812,16882978.5499878,559823195.973259,611898787.665541,1169036.9431839,1289299.36238098,73697267.8330383,0,0,0,76666399.8991013,52318.41015625,458445.205474854,7717460.81054688,6581429.68431854,788557383.194885,2059651.28015137,218018478.049316,1388070.74979401,13562931.7832642,84958502.0257263,100239830.766144,1248701528.63421,24571982.941136,1045492.39611816
"US_MN",3046161869.63906,296232427.444763,10555802.8336411,6432592.58676147,85740599.3259915,83822792.7267265,905358956.615919,9073610.1875,1397216275.39024,23701277.6220703,15492919.8709984,272792029.997973,311986296.376208,1878473.2204895,221086.306594849,93951835.1552277,0,0,0,96589816.2177582,2982.90502929688,535451.342987061,6850396.54614258,6390335.66024399,772927154.214444,1832180.55505371,148478278.521851,1347767.57069206,92717523.0288086,87377131.3913879,115242453.958103,1240368615.55236,5960650.34896123,1244387.32281494
"US_MO",3217637480.97754,377833332.913078,26802617.394515,3801140.75629044,100888473.483153,57820386.6159058,913933995.60854,7225493.5,1488305476.6671,25512635.7840576,8795038.99502563,266585633.057696,300893353.122088,1985471.97815704,896748.059249878,82258211.6260529,0,0,0,85741370.3842697,47441.0864257812,553504.175689697,9805289.86068726,9001110.03585052,777714959.613016,2613471.88568115,196118344.691376,1898399.02740192,87216827.2457275,98405754.2561512,155721920.534157,1342697503.26086,3661495.12122369,540426.073806763
"US_MS",1664497384.51263,194451006.618898,5775351.74723053,331717.406066895,51283576.8718055,22281688.7305908,373435889.690918,891533.21875,648450667.076372,14661549.9262085,7978080.68507385,136778949.335705,159418558.522778,960791.655075073,49727.3693695068,47247374.8515701,0,0,0,48284627.5455246,0,26733.0689697266,6400521.22021484,6841221.92138672,416397420.03565,1705675.74914551,103031585.379395,1442863.23928833,101375214.786743,68812108.6901398,92881298.7671154,808343021.270195,9375830.21044767,78937.7618713379
"US_MT",1161307211.56074,64934773.7619877,1140549.83441544,404084.31451416,15960599.7980292,1410997.00281906,139973325.155518,89848.4765625,223914283.724842,17407205.5942383,6839688.96898651,55174212.4819031,79421096.4074097,1005312.79312134,1161174.60359192,60064856.6508179,0,0,0,63463611.7086792,0,1232246.8046875,3132564.70849609,2679970.77479553,490847510.612083,833830.727294922,122900998.734131,565225.105593681,7988269.75,86381896.3128662,27097181.9163742,794508025.748405,51002808.7000007,1077996.02947998
"US_NC",4230452232.25568,559846869.409363,36106464.6099854,3872529.40867615,138779868.983281,234770555.705414,1450436860.01143,4415817.5546875,2428229456.96717,29055943.3139977,34192289.4691238,302434927.585021,365682973.06179,1404269.34405518,682171.192756653,67369050.5935364,0,0,0,69896392.5205688,20250.8981933594,420645.544311523,10632797.5915527,10840458.5798874,743786800.164987,2833816.8338623,247226608.753418,2286331.42345238,119807261.534214,100278657.840881,122368724.707535,1366645058.70246,5482207.45393848,1101212.98160553
"US_ND",1010462556.56627,63469990.3285522,843501.644100189,498800.848945618,12956058.1880531,2443165.30352688,120742843.220459,0,200954330.966309,14045091.2719727,2102465.36322021,61769484.9121231,77917039.3348526,577893.522720337,73442.9050750732,67488636.0938721,0,0,0,68169328.5511322,0,29360.3332519531,696720.8984375,1734692.52309036,406026113.20104,185571.510375977,63958489.1730957,365859.078572273,36146433.8337059,55312404.4235382,54483085.9221954,663421974.853514,44426165.1905231,86394.6212158203
"US_NE",1495954820.48846,150666485.887703,4671014.28383255,937690.718513489,34576032.0757236,25616043.9563179,308128882.090729,863014.546875,525459396.434288,19800002.8483086,3989943.03219604,103229772.43199,127019739.890989,1160687.30112839,1067155.44807434,77933424.2844849,0,0,0,80377396.1846924,0,216428.466964722,2165057.57617188,5665194.0957489,525623726.168304,578312.537963867,58958095.6894531,1194830.47109032,26412524.9577637,60175249.0236816,79954937.2551746,763098137.056519,2138229.45159042,231890.811309814
"US_NH",529552868.251469,48233431.3296356,3116210.97654724,507700.659362793,13427791.3675833,11447394.2242432,159895030.623203,318217.6875,236945870.369381,5883379.80761719,11266235.3532104,61521499.9652443,78671112.4659119,215550.970451355,282777.922325134,7293753.21902466,0,0,0,7828751.13764954,0,36671.9064941406,1661850.31079102,1307112.54257202,112523433.276119,444342.660552979,33790494.5058594,275679.455116272,4163994.5078125,22950688.5086365,25572061.4985352,206107740.736332,3333414.9943285,84536.3085021973
"US_NJ",2599468326.9411,357015199.630859,112400250.929443,11218489.5839844,72625400.9197502,315820455.837189,854261297.939819,18094938.1835938,1741436446.94727,10333493.1866455,38002143.6903114,264910909.656321,313246446.411146,1551254.44842911,797217.247680664,32043419.5404663,545154.3515625,1669585.2578125,2235187.14648438,39801962.1156082,1023.83538818359,959112.978118896,11378812.4144592,5253917.10444069,237427907.75679,3047611.61034393,106982407.083252,1108088.91210079,58422962.0911865,37816885.6763306,40638101.7022705,504983428.602722,1180270.44513178,1726771.15512085
