"zone";"area_building_commercial_industrial";"area_building_commercial_innercity";"area_building_highrise";"area_building_lightweight";"area_building_multifamily";"area_building_singlefamily";"area_building_skyscraper";"area_other_airport";"area_other_parking";"area_other_remaining_impervious";"area_rail_bridge";"area_rail_exclude";"area_rail_other";"area_rail_railway";"area_rail_subway_elevated";"area_rail_subway_surface";"area_rail_subway";"area_rail_tram";"area_rail_tunnel";"area_street_bridge_motorway";"area_street_bridge_other";"area_street_exclude";"area_street_local";"area_street_motorway_elevated";"area_street_motorway";"area_street_other_elevated";"area_street_primary";"area_street_secondary";"area_street_tertiary";"area_street_track";"area_street_tunnel"
915;693538;4863;0;550078;32631;3437876;0;224420;4705;1688248;15280;198172;10929;1803624;0;0;0;0;0;160379;54985;50092;22398307;160379;4264889;54985;40185;126427;1507700;65568;964
916;469946;2246;991;139994;9080;875651;0;89387;2826;989659;8226;0;0;1178971;0;0;0;0;0;0;27265;0;16389728;0;0;27265;0;626708;883583;656586;0
917;1566334;5294;71;683739;52368;3407171;0;537787;1183;4312730;28305;238373;0;2530090;0;0;0;0;0;26480;75075;6320;25283827;26480;396318;75075;755077;1999547;53925;268226;0
918;234052;4;0;145678;2459;813257;0;281513;1001;449297;2030;589705;0;600533;0;0;0;0;0;0;26247;31481;16636882;0;0;26247;0;809212;1095933;334310;284
919;316769;151;0;92247;1440;330996;0;150528;0;150735;0;0;0;615276;0;0;0;0;0;0;9418;0;12490241;0;0;9418;0;428564;1041123;1748647;0
920;706411;1009;0;304750;28527;1600283;0;25674;0;845510;5800;174689;0;560466;0;0;0;0;0;0;76336;0;20166239;0;0;76336;0;540511;1851722;380115;0
921;757591;7586;9;376819;26996;1813024;0;116076;0;2279418;13244;319980;3229;1201444;0;0;0;0;1041;0;56797;14974;17517555;0;1114;56797;316292;891481;876775;117532;637
922;199381;307;0;100245;4105;498911;0;35790;3725;465553;5264;263295;0;730861;0;0;0;0;0;0;14635;0;22002490;0;0;14635;0;576394;1297668;288027;0
923;318074;1166;0;125629;9070;613917;0;60886;0;518596;9774;382134;0;682930;0;0;0;0;0;0;32908;0;21079243;0;0;32908;818;1639646;608206;125914;0
924;407432;2335;0;313747;10904;1814089;0;43972;16162;945917;11193;441301;0;1292146;0;0;0;0;0;48356;73051;188958;19295936;48356;2325462;73051;292111;957631;1128523;363891;303
925;269343;349;0;100987;4292;626476;0;123548;0;438640;2287;207912;0;661389;0;0;0;0;0;0;26702;0;19636129;0;0;26702;0;1305778;312563;222328;0
926;189817;30;0;139062;10037;835198;0;79364;0;323159;5971;282116;0;681846;0;0;0;0;0;34943;43072;0;16798716;34943;1086690;43072;731005;298789;778713;114094;0
927;356710;478;92;103183;10391;775709;0;98262;0;583021;4061;113689;1084;886937;0;0;0;0;0;0;25028;0;20840814;0;0;25028;0;1445705;379659;491799;0
928;372847;336;0;128113;2758;780606;0;72593;0;1082406;4729;266174;0;671856;0;0;0;0;0;0;37683;0;25871373;0;0;37683;0;1504349;528808;183530;0
929;950112;12699;3473;367866;32385;2160771;0;110118;270958;2437378;13377;232087;6830;1443946;0;0;0;0;365;0;70661;48619;23422778;0;0;70661;786595;311656;1833960;364721;0
930;458666;874;0;144088;1731;1046710;0;139254;1133;1387806;3651;309881;545;1368807;0;0;0;0;0;5610;15708;3408;19338477;5610;743262;15708;670325;845507;245658;562453;0
931;196779;135;0;89628;2260;474916;0;199973;0;174031;1956;1937;258165;17908;0;0;0;0;0;0;10277;1806;19526487;0;0;10277;0;702128;287078;975425;247
932;2510334;18817;249;911417;63785;5661196;0;656376;86861;7037744;29691;513044;3920;3283206;0;0;0;0;3952;69055;165703;73740;40881658;69055;1284555;165703;3002589;530441;786144;318616;0
933;260042;252;0;154307;8758;880178;0;57492;2207;677760;4901;448126;40765;929645;0;0;0;0;0;0;46380;0;21351858;0;8746;46380;1475304;587477;575865;101192;0
934;519912;898;0;175725;8462;1133598;0;47370;0;1078987;4664;554649;8931;1369113;0;0;0;0;0;0;33120;0;22807844;0;0;33120;0;589598;737637;331660;0
935;1722608;13387;99;583606;109993;3906027;0;322224;1017498;5881605;4662;341829;0;429923;0;0;0;0;0;65294;104649;115975;21321688;65294;1340323;104649;546558;1334831;633239;1115387;2596
936;371858;0;0;108624;1384;588973;0;62295;0;1110629;0;181640;0;0;0;0;0;0;0;0;15481;1118;22693044;0;0;15481;0;1875198;63130;563162;0
937;189764;0;0;83446;1783;535653;0;32222;0;312536;6177;5746;0;1259665;0;0;0;0;0;0;20749;0;19280221;0;0;20749;0;459349;1133268;553681;0
938;370098;2351;0;180267;3899;867586;0;97398;3092;947011;0;173336;2498;709312;0;0;0;0;0;34501;56091;25265;22487271;34501;2613505;56091;0;1179833;152956;1081191;840
939;2366734;9528;0;637253;52078;4032706;0;1063073;23347;7118988;8241;651936;5279;1672495;0;0;0;0;893;160800;76925;51070;21910093;160825;4858327;76925;0;26493;1548392;102936;1748
940;428755;169;0;96060;3137;482093;0;102944;0;482824;70;40541;13993;964035;0;0;0;0;0;0;2156;0;14296446;0;0;2156;0;592371;721660;799269;0
941;15375079;82209;24295;4491167;535528;34212965;1559;4659211;2289292;44889277;37538;777637;26819;3890961;0;0;0;0;643;978971;356908;197755;65586247;985027;9151637;356908;2468041;409086;5804800;216564;22788
942;923464;349;0;331735;6494;1290587;0;431846;0;1465324;4766;109560;0;876638;0;0;0;0;0;0;19015;4161;16257855;0;4144;19015;476224;1197251;353712;1431517;0
943;5118000;114867;15577;1600134;460971;12693044;0;1625724;1778294;15135046;28530;276321;13849;2628610;0;0;0;0;13828;405300;274827;66828;33388061;406048;5921848;274827;780613;714396;3195651;316224;7096
944;197126;444;0;65313;5316;448045;0;35931;0;195296;635;73897;0;253131;0;0;0;0;0;0;9805;0;20388929;0;0;9805;0;1239593;368545;59692;0
945;395997;1024;382;104879;3883;718617;0;165066;0;590207;1884;0;0;848627;0;0;0;0;0;64944;12832;0;21169354;65076;3081538;12832;0;57687;816318;659484;492
946;273718;638;0;113928;5914;697681;0;74139;0;531437;7313;136397;0;628849;0;0;0;0;0;0;29826;0;22244071;0;0;29826;0;1228694;588357;355204;0
947;204772;1922;0;90935;3132;656223;0;0;0;328995;1809;233677;0;667142;0;0;0;0;0;0;9727;539;24121904;0;0;9727;928335;575214;169826;214990;0
948;184940;68;0;58762;2754;251924;0;148980;0;140700;875;0;0;622956;0;0;0;0;0;0;3830;0;13561595;0;0;3830;0;612315;389181;2090441;0
949;387102;152;0;122390;1672;517422;0;106181;0;335165;0;14038;0;931683;0;0;0;0;0;0;2028;0;15585120;0;0;2028;0;1201048;263599;3177079;0
950;794408;583;487;451938;15101;2654893;0;172594;27252;1599195;59587;950474;4465;3362218;0;0;0;0;0;32536;74119;30238;36574406;32536;2263478;74119;22681;1998657;1289552;158418;1031
951;539984;4000;0;124259;7411;843542;0;149658;16655;716513;4271;97510;4239;1258343;0;0;0;0;0;30799;10613;2856;24582511;30799;3439792;10613;0;1402718;293516;516855;0
952;190152;252;0;82449;3321;457988;0;44354;0;474145;984;1176;1596;760947;0;0;0;0;0;52851;19636;2158;20186776;52851;2662695;19636;0;603700;385508;503232;914
953;194710;0;0;164922;6788;980153;0;12980;5013;542348;14456;246389;0;856433;0;0;0;0;0;73972;45200;1618;15976103;73972;2216664;45200;0;0;1509380;383580;1436
954;125288;653;0;35883;2493;235106;0;124285;1491;152178;6140;815;2708;695805;0;0;0;0;0;0;9245;0;12182780;0;0;9245;0;646199;509952;978989;0
955;402510;561;0;215558;3330;1112605;0;32147;2781;457687;0;591539;0;471911;0;0;0;0;0;0;43598;718;25347851;0;0;43598;258069;501940;1296824;57879;0
956;351689;680;0;65526;1483;279495;0;63991;0;153929;944;4170;0;569774;0;0;0;0;0;0;4483;0;12613473;0;0;4483;0;655749;415382;1655881;0
957;419008;2730;0;249197;12799;1142906;0;93933;11391;908178;11008;406112;2922;1261702;0;0;0;0;7936;6099;42679;95043;16488319;6099;168171;42679;722914;516863;943916;661631;0
958;115626;0;0;113565;2071;552775;0;26433;0;206929;3296;385359;0;508964;0;0;0;0;0;0;14700;0;12649332;0;0;14700;0;917833;174492;192567;0
959;5269589;120893;9101;1058839;133033;8436889;0;16582;1068607;24004300;60903;168415;85089;6045149;0;0;0;0;12179;742857;229278;81810;19467198;744452;4448762;229278;1385562;645887;1750706;122037;3632
960;400899;2805;0;519052;116181;2142721;0;37212;0;797321;0;0;0;0;0;0;0;0;0;0;22179;0;11216921;0;1723885;22179;395424;816060;2266942;54772;2751
961;465539;4244;0;425658;40820;2193031;0;0;0;1009746;0;62542;0;0;0;0;0;0;0;0;5625;0;9751285;0;0;5625;1106177;593912;2114781;103876;0
962;383050;12825;0;362363;148989;2031641;0;13111;13690;1145550;1851;14897;2169;391879;0;0;0;0;0;11022;22484;3654;5692763;11022;1054324;22484;932783;877785;807376;23209;434
963;308193;24521;6380;193303;41460;1069689;0;0;0;473020;50155;313385;0;343437;0;0;0;0;0;0;33079;0;6146864;0;0;33079;771600;179217;760814;25715;0
964;1527997;13875;0;1124737;100876;4517432;0;182411;115156;2492339;0;0;0;396387;0;0;0;0;1501;29040;39549;11433;13713814;29040;2466223;39549;1264415;1151612;2992413;26688;2166
965;122684;1774;0;295492;40573;1410496;0;0;32305;473895;0;98931;0;0;0;0;0;0;0;34299;7340;15862;6811155;34299;1179259;7340;378473;384882;1182361;32465;0
966;385806;18368;380;237750;235784;1870516;0;82166;38998;2057542;21210;228277;0;1541748;0;0;0;0;12395;0;67493;80910;8681827;0;0;67493;1416710;0;2335179;449485;35467
967;5226240;95250;2360;1120571;576126;8175782;0;3151133;2021696;10737459;4221;2350;11543;496067;0;0;0;0;0;54178;53447;141753;17101347;54289;3155316;53447;66350;852676;2803845;324109;8924
968;545489;12918;0;474291;84093;2621195;0;55690;0;1110638;8106;111651;0;582556;0;0;0;0;0;0;17439;8170;7946028;0;0;17439;1147347;798836;1749440;41663;282
969;1022850;59639;6003;424908;194577;3046319;0;0;48629;8413137;9082;62719;0;1060376;0;0;0;0;4176;39622;36740;6882;7710824;39624;983762;36740;1205222;448021;1915741;74931;629
970;1090814;18187;1274;426439;199381;2762984;0;59528;3729;2114892;2800;96002;0;543080;0;0;0;0;0;0;16477;0;5437497;0;0;16477;1199959;586281;1614197;4584;0
971;113364;223;0;269399;62313;1036318;0;0;1265;242341;3212;16149;0;497626;0;0;0;0;0;0;13364;1858;4046346;0;0;13364;605367;260497;2171369;39676;185
972;117473;15984;48;177298;183437;1099247;0;51563;23819;699425;4721;88496;0;720874;0;0;0;0;5906;0;33145;34835;9668152;0;0;33145;1137259;518774;2704335;268307;1179
973;485143;2369;0;609361;19387;2631969;0;58746;21248;430892;7018;242410;0;693613;0;0;0;0;0;0;7275;0;12689807;0;4229;7275;977411;338300;4579164;132255;0
974;1538357;39515;0;834943;276835;5946205;0;57782;147531;5181888;6595;4056;0;728829;0;0;0;0;0;37343;31618;3487;12889808;37628;1850384;31618;223852;686240;1730073;31491;0
975;290533;2248;0;239172;29646;1281185;0;0;5363;345279;0;0;0;0;0;0;0;0;0;19173;12984;0;9227080;19173;1384180;12984;0;358902;2582016;377154;459
976;436573;9248;0;284105;128424;1420987;0;51151;1615;550449;3843;100388;0;659404;0;0;0;0;2513;6209;9365;0;7479086;6209;1470880;9365;0;859621;2318407;19360;674
977;1120976;9247;970;648207;145633;3645542;0;181536;103086;2403402;4814;40068;0;266862;0;0;0;0;0;0;47056;25;13924724;0;0;47056;1858520;163547;2907212;51208;0
978;1079477;60100;2806;661510;638083;4628255;2600;0;663763;5159878;8872;5507;10784;707666;0;0;0;0;0;143706;75827;71638;10580542;144490;934975;75827;1504127;239264;1927350;149285;250
979;194068;13558;0;140658;14130;758241;0;38721;0;128852;1014;72540;0;240333;0;0;0;0;0;0;5049;0;3905182;0;0;5049;570124;319347;1107198;25673;0
980;688208;51267;2320;196334;99069;932285;0;20725;29753;2008934;7161;19949;0;935067;0;0;0;0;0;43741;18825;0;3781125;43741;1328319;18825;0;548152;1531430;264569;193
981;279812;1168;0;394414;137018;2567342;0;26745;23953;2366477;592;257365;0;0;0;0;0;0;2754;48852;30957;21394;12508084;48852;2892195;30957;931925;666361;2627956;265896;709
982;341360;1445;0;464022;72509;2138290;0;30997;0;619340;0;0;0;0;0;0;0;0;0;0;8357;0;10568073;0;0;8357;736501;366299;3179193;95474;0
983;2596974;23414;297;954368;594522;5499770;0;1137423;232214;7450264;11024;211666;8182;1108487;0;0;0;0;0;77569;42482;14975;17476834;77623;4316556;42482;1786213;1962302;4807346;105226;1854
984;985612;43636;52;554689;88627;3235015;0;28913;46587;3501101;19035;201566;0;1006756;0;0;0;0;11622;12224;24871;0;9060736;12224;2218212;24871;437542;479144;1915041;18654;1362
985;187354;8269;273;231823;132472;1722112;0;0;800;1169306;2688;23285;0;258243;0;0;0;0;0;21971;13364;0;9930748;21971;1015760;13364;67776;770532;2882122;39761;3683
986;337163;5866;0;264981;46859;1209348;0;30077;9831;1073031;0;0;0;0;0;0;0;0;0;0;10061;0;5204243;0;0;10061;812184;307814;919435;139482;2044
987;168168;2355;0;276765;23993;1146068;0;75862;0;219973;1078;140146;181;0;0;0;0;0;0;0;1352;0;7319969;0;0;1352;709220;134082;2191875;54933;0
988;115469;5950;0;182431;30736;844173;0;0;30643;332160;0;0;0;0;0;0;0;0;0;0;19989;0;6102576;0;0;19989;1087320;384642;882341;191658;0
989;3152892;39766;4591;1166322;470953;7248201;0;408891;284526;7053747;1970;98865;1033;629947;0;0;0;0;0;76371;133486;7173;16016940;76371;2651116;133486;827743;1011280;3598994;65868;1552
990;162261;1571;0;266544;19462;1511670;0;0;39979;115175;0;0;0;83262;0;0;0;0;0;0;7139;75539;6452797;0;225995;7139;0;530625;1853899;79434;0
991;35945;300;0;143840;42709;829121;0;0;0;165324;0;0;0;0;0;0;0;0;0;0;12016;0;5700563;0;0;12016;557815;13041;1818683;119544;0
992;105374;780;0;199772;23387;1375051;0;26942;12661;817896;9894;61514;0;571761;0;0;0;0;0;0;14397;1852;7536280;0;0;14397;215272;510167;895235;125879;295
993;6474484;491970;49650;2243257;1461395;18100515;76;596217;2373849;19218807;11633;85514;3994;1258167;0;0;0;0;0;102300;83285;65720;27801618;102514;4269597;83285;1693513;1996069;2658688;28541;6209
994;305458;2480;0;450130;95355;1937268;0;36579;0;860262;0;35641;0;182416;0;0;0;0;3703;0;11084;0;8265126;0;0;11084;518660;445579;2483790;163292;0
995;297887;14774;203;396618;526694;2702566;0;0;40352;3761062;5489;155055;121437;1240710;0;0;0;0;9524;10683;89534;2827;10448512;10779;185248;89534;2590272;300859;3238626;73694;0
996;1149135;85542;0;640343;331259;4020088;0;155228;520987;3769498;7243;114402;0;317953;0;0;0;0;1938;55954;73673;17201;9240545;55954;1197471;73673;1100231;938673;1481102;68340;81
997;328054;8274;211;106135;52293;696044;0;51640;6154;711218;1580;67992;0;616111;0;0;0;0;0;13980;10306;0;3618255;13980;305140;10306;0;773578;2110412;142786;0
998;289315;17545;3060;150935;17278;794057;0;0;139483;1855471;427;0;1060;388622;0;0;0;0;0;18113;33639;2536;2805502;18113;1522461;33639;211046;620043;1092696;70745;977
999;147207;9941;0;343052;39441;2065902;0;10146;0;424159;0;88375;0;0;0;0;0;0;854;0;11248;0;7136045;0;0;11248;704770;347520;1083403;12266;0
1000;304477;3532;0;419541;54373;2080304;0;0;169165;843707;1764;0;0;655232;0;0;0;0;0;2139;41483;0;6941255;2139;2089669;41483;64167;639168;1755926;70064;69
1001;1406936;17378;235;842522;92848;4501759;0;125414;21667;1902900;13179;81427;0;797454;0;0;0;0;0;54028;42681;1943;12930770;54028;2119280;42681;1419528;622261;5016237;64775;0
1002;753556;3187;0;592762;35555;3143476;0;81100;156286;934530;5312;0;0;659534;0;0;0;0;0;6381;22365;582;13361261;6381;2410284;22365;0;1144459;2902762;29668;0
1003;221073;1102;0;444582;45828;1577547;0;0;0;428590;0;38130;0;0;0;0;0;0;0;0;8699;0;8536412;0;0;8699;147856;736069;1605891;3282;0
1004;544312;18799;1920;489412;135540;3228465;0;134131;43564;3786967;18041;4986;9789;2716315;0;0;0;0;1430;0;81910;53979;11457645;0;1124;81910;2222413;262125;3029534;104892;6916
1005;688590;6305;1873;203840;30040;930731;0;166009;25625;1207295;1769;9739;8404;749926;0;0;0;0;0;0;14652;0;4444299;0;0;14652;803296;0;2000470;51982;0
1006;2640544;27613;0;1252947;440458;8399560;0;495107;699970;8364691;17929;25801;0;1750988;0;0;0;0;0;59144;71642;8534;22038973;59423;4431437;71642;2304182;1667083;4668804;474164;1209
1007;230000;19457;564;239184;383166;1701567;0;51431;66650;1958173;15628;284190;0;2020713;0;0;0;0;15985;0;85207;9384;10582284;0;0;85207;1715239;465418;2381904;337227;823
1008;410120;22567;0;407289;43088;2110709;0;93593;3263;796608;6022;4316;0;508038;0;0;0;0;0;0;34163;4054;7951006;0;0;34163;116672;749766;2040167;41500;460
1009;688373;393;0;599923;39529;2144443;0;0;0;812541;5045;0;0;452651;0;0;0;0;0;18430;14654;0;10169829;18430;1833481;14654;0;885371;3293534;41581;612
1010;1574498;58888;220;605593;461915;3398437;0;168696;96010;3230653;27021;123969;0;941248;0;0;0;0;0;33294;117616;20625;13594683;33334;2592515;117616;1256316;272852;2030353;221316;423
1011;311329;2045;0;456749;67442;1859604;0;0;0;458502;1628;90878;1292;314272;0;0;0;0;0;23645;17063;1487;6355846;23645;1181666;17063;0;582835;2708726;94910;0
1012;335906;5375;30;166522;34003;802544;0;21545;0;236055;9478;133645;0;482083;0;0;0;0;0;0;18007;2559;4247949;0;375894;18007;0;387758;2015938;22565;0
1013;1391735;16266;1243;748095;270179;4309813;0;172439;237756;2674573;13330;211643;5626;2080670;0;0;0;0;0;92527;30904;0;13067247;92527;3887621;30904;0;1382687;3597702;463773;598
1014;78599;1288;0;220823;24666;1516500;0;0;0;308780;0;0;0;0;0;0;0;0;0;0;883;64364;9816489;0;0;883;292974;729355;1092022;302576;0
1015;19116038;902923;171363;4904840;7462904;41789322;15863;2961755;9238717;54042495;130881;49912;32999;5548945;0;0;0;0;5398;1124348;259433;326773;63401498;1130438;10411254;259433;1257264;3622022;3372233;38629;52943
1016;981837;20722;0;582007;137809;4044878;0;87949;103143;3343738;5931;108276;0;403338;0;0;0;0;0;0;17295;30899;9446467;0;0;17295;1269515;160641;1013581;40484;1463
1017;275340;11067;146;241670;299435;1648653;0;44607;115343;1807388;4701;122362;0;428664;0;0;0;0;1676;17032;16944;0;7931364;17032;134918;16944;1363080;529373;1888377;80494;0
1018;1894081;66762;1815;1088053;940571;8496898;10841;18724;1123014;6641583;80384;3911;7849;1895107;0;0;0;0;19739;150524;89393;122677;14525747;151946;1880510;89393;476292;432444;2478347;157293;2622
1019;65036;9622;314;156106;173923;1061688;0;0;22379;811785;8519;0;0;542474;0;0;0;0;0;0;8921;1020;7032279;0;0;8921;1352506;238758;2808038;156485;0
1020;451358;13141;0;400340;80611;2671037;0;0;74012;2441662;3984;110625;0;803663;0;0;0;0;0;0;15553;2032;11170070;0;0;15553;1706997;25365;2204259;202567;1869
1021;295910;2793;0;441152;53839;1596933;0;0;35321;320165;1071;31665;0;83015;0;0;0;0;0;0;6413;0;5737094;0;364655;6413;723355;643846;1683625;8858;0
1022;1409616;17809;358;836135;125774;5520479;0;163856;177089;8102480;3331;0;0;658896;0;0;0;0;1284;27895;120514;0;16068436;27895;1999860;120514;1365710;747108;2864549;245908;1078
1023;134648;8197;4756;210737;51273;1301983;0;0;0;1687977;2546;0;0;737024;0;0;0;0;0;0;22035;1293;9676682;0;0;22035;1979030;107940;2881617;221246;329
1024;68956;1058;0;99518;47982;703732;0;0;8305;362739;5383;114492;0;644241;0;0;0;0;3013;0;11603;2461;6843092;0;0;11603;0;749360;767918;128905;298
1025;30526;4886;55;111107;151893;814641;0;0;16979;326681;0;0;0;0;0;0;0;0;0;0;12595;5414;9860037;0;0;12595;567873;861648;1427530;79123;1173
1026;131121;18452;0;212218;327593;1569201;0;0;74007;1540048;5795;327147;0;708725;0;0;0;0;6003;0;46183;20355;9054073;0;0;46183;1627842;0;2825328;127169;961
1027;162046;5068;0;310683;82700;1576800;0;0;6181;821493;1544;0;778;1205915;0;0;0;0;0;0;21681;816;9294564;0;3886;21681;949280;271372;3272184;120644;0
1028;292214;1245;0;552830;59631;2882887;0;117707;0;803852;8472;170789;0;557667;0;0;0;0;0;0;9412;0;9325137;0;0;9412;1783493;0;2690118;1659;282
1029;167467;17302;2728;250698;35628;1181663;0;23833;14581;819217;13819;48791;0;193124;0;0;0;0;0;37602;62887;1198;6155998;37602;376347;62887;1079074;353776;1765076;4306;0
1030;1130086;2081;0;523094;191324;2926840;0;88169;68218;1426685;752;134079;0;758994;0;0;0;0;0;0;23019;0;12639885;0;0;23019;2237799;1093540;3768251;143851;0
1031;224642;9962;0;173474;47893;994337;0;0;56123;381749;4832;147256;0;312036;0;0;0;0;0;58850;21553;65354;7060623;58850;2295417;21553;0;468446;952755;146246;588
1032;2470160;115847;3971;835542;349607;6179489;0;345602;486816;6458486;28921;130672;8553;1948069;0;0;0;0;0;128597;128746;26223;11688259;128597;1463766;128746;2027613;453742;2345483;6226;468
1033;189482;1764;0;207036;53950;1389873;0;34597;32134;1399736;1428;46137;83291;487006;0;0;0;0;0;0;7769;252112;9895346;0;0;7769;800679;311084;1342723;200780;2815
1034;610082;1847;0;350310;34146;1274044;0;105881;0;362860;0;72539;0;0;0;0;0;0;0;0;21216;0;5073127;0;0;21216;0;752115;1759762;23621;0
1035;1893485;69469;3684;982473;226443;6639144;0;142325;506061;7403545;8092;262691;3287;1174835;0;0;0;0;7607;31446;30372;60336;18547435;31446;2145129;30372;1034762;1238154;2003824;152366;2138
1036;85907;2641;0;181910;85551;1115986;0;0;12115;332826;1342;103902;0;0;0;0;0;0;1908;26484;10670;0;6606345;26484;729361;10670;441166;237637;2286099;74809;1439
1037;649282;10319;0;516558;133377;2097578;0;0;121345;1256457;0;254623;0;0;0;0;0;0;0;0;4794;17674;6731602;0;0;4794;471315;308790;2667027;49549;0
1038;807505;68229;8470;652776;131259;3742839;0;121396;53697;3078141;11354;136801;5426;826776;0;0;0;0;0;69382;55803;11592;11209849;69382;2529808;55803;655405;1279786;1878816;79272;531
1039;85630;5233;0;122029;72947;865635;0;125971;1034;1038958;6283;7109;0;444522;0;0;0;0;6331;0;9542;7566;4490952;0;0;9542;982664;340619;1180881;88749;1973
1040;771784;43764;8293;385681;186424;1952352;0;121354;48680;2332450;6017;0;0;881213;0;0;0;0;430;0;53459;0;5644557;0;0;53459;1253022;622680;2216626;63639;281
1041;410167;4643;0;461594;35548;2586611;0;0;52659;718823;9454;0;0;645344;0;0;0;0;0;0;29879;9150;10582425;0;0;29879;1207860;211909;2440779;95258;87
1042;46826;2488;0;120451;30644;766040;0;0;1052;218113;0;38121;0;0;0;0;0;0;0;0;2160;0;4541733;0;0;2160;0;365166;1283027;77986;0
1043;537789;25583;6461;497054;112929;2545061;0;13296;13677;1449321;5905;20218;0;598852;0;0;0;0;0;0;10631;1538;6883464;0;296842;10631;1083807;552421;1143055;15490;62
1044;236607;424;0;358715;36706;1300756;0;0;1535;275286;0;0;0;0;0;0;0;0;0;3051;4373;0;6531010;3051;1102152;4373;356759;774356;1706291;5110;1389
1045;462314;695;0;480829;47146;1532710;0;71312;6545;1141838;0;0;0;0;0;0;0;0;0;0;3809;0;8294074;0;0;3809;0;912623;1715333;11834;0
1046;770372;5389;0;443983;115073;2469381;0;119721;72547;2269536;0;138753;0;0;0;0;0;0;0;3820;12122;0;5360490;3820;1039460;12122;756080;777859;1110376;7558;43879
1047;118656;10148;0;252689;110416;1456339;0;31066;26720;516907;0;60594;0;0;0;0;0;0;0;5362;14120;0;8325361;5362;233593;14120;692271;730844;2432012;72597;0
1048;718349;8260;11002;493575;122428;2916586;0;106309;1234;2183781;14249;282172;0;1147405;0;0;0;0;107;52158;31595;137;13581198;52158;1616362;31595;335943;1244512;2673045;294766;434
1049;992761;72266;0;822796;469411;4217466;0;132464;184977;2625925;4069;48507;0;548589;0;0;0;0;0;37769;35241;928;10327744;37769;2446959;35241;682449;1249843;2709903;128211;0
1050;86953;2056;0;186219;30010;952336;0;0;0;229538;3096;0;0;309114;0;0;0;0;0;0;7839;5948;5970181;0;0;7839;4868;237644;1203895;8036;0
1051;696277;5622;5932;468658;71786;2284469;0;59309;9765;921568;4019;272250;0;536371;0;0;0;0;0;38388;21894;280;13479769;38388;3344664;21894;0;1146240;3141709;128616;958
1052;607146;9084;0;616874;784351;4401559;0;12950;321831;1726501;1894;14380;1922;307353;0;0;0;0;0;10881;20105;21382;10460036;10881;1295086;20105;74948;373171;1605287;6189;0
1053;152924;2756;0;345569;36968;1396619;0;35665;965;404692;0;0;0;0;0;0;0;0;0;0;13013;0;7166007;0;152;13013;0;1346894;2375526;348050;0
1054;21691;241;0;84646;29085;543844;0;0;0;109101;0;0;0;0;0;0;0;0;0;0;4838;31770;5192039;0;0;4838;0;464888;729963;94011;0
1055;171407;2127;0;339039;33569;1534831;0;43975;0;340998;2910;0;0;651051;0;0;0;0;0;0;27642;0;6636192;0;0;27642;132457;364391;2307723;159043;568
1056;425285;31759;2331;262100;541668;1797894;0;155739;27797;2829257;16908;132276;9531;1396674;0;0;0;0;18595;0;79509;0;11308286;0;0;79509;1735118;187742;2659192;103824;1649
1057;561874;72976;3567;610178;470252;4404640;0;119504;186360;6043261;34672;536173;0;2881967;0;0;0;0;35274;50164;221307;95091;16451589;50257;323568;221307;3677710;679253;5292594;395148;2905
1058;122349;4350;0;182769;70129;1120988;0;43926;7770;1052020;0;145151;0;0;0;0;0;0;0;18477;9830;45934;4300558;18477;1932917;9830;0;289087;1372720;75734;2616
1059;1657058;36483;4573;1196784;353292;6820251;0;223536;496795;6735703;12028;0;0;869253;0;0;0;0;0;25806;92228;22897;25600780;25806;1304914;92228;3970048;308870;2798062;121465;472
1060;22849;0;0;86335;13014;360190;0;0;1203;17623;0;0;0;0;0;0;0;0;0;0;1151;5476;1586881;0;0;1151;0;630981;677877;9427;34
1061;137025;2668;0;298655;38861;1782864;0;19186;6469;1001137;8880;55767;0;730546;0;0;0;0;13522;19573;6065;0;8489136;19573;1849671;6065;650304;546677;2422608;116988;1325
1062;608675;29484;0;326978;134638;1856280;0;104856;124520;2384199;0;203077;0;0;0;0;0;0;385;24133;25971;29921;7211235;24133;1774290;25971;0;677205;1687134;89740;0
1063;598354;9629;0;415373;102537;2162008;0;83412;138128;1108418;0;0;0;0;0;0;0;0;0;0;18621;8492;9413371;0;1143799;18621;479883;480915;1193360;29387;0
1064;1630689;9398;0;642430;91137;4102218;0;169855;479968;3751139;3986;164412;0;615861;0;0;0;0;0;65465;55293;42965;10691979;65465;2390269;55293;978984;1292413;1428256;40560;3198
1065;1158612;16105;0;825381;282993;4262567;0;68336;1005969;2296336;7124;37770;0;1225012;0;0;0;0;0;35417;25120;20553;11055751;35417;2018831;25120;279898;1079374;2878453;86360;249
1066;893708;3008;0;339474;86814;1850124;0;48876;23163;1444283;0;1471;0;261890;0;0;0;0;0;22028;9986;0;6451950;22028;1231473;9986;0;777781;1611482;7165;0
1067;124518;1801;0;335758;70505;1731707;0;15439;49161;354744;0;0;0;0;0;0;0;0;0;0;18957;1857;5578988;0;0;18957;946007;68722;1395533;78681;0
1068;834580;7017;0;584681;118831;2506493;0;101829;43594;2026319;0;84309;0;0;0;0;0;0;0;0;5144;0;7510801;0;0;5144;1213982;268741;1502969;41791;0
1069;616435;939;0;340391;82889;1612654;0;29570;2351;618795;935;69223;0;479529;0;0;0;0;0;0;8794;0;7335592;0;0;8794;884139;458277;2552945;67358;0
