"zone";"area_building_commercial_industrial";"area_building_commercial_innercity";"area_building_highrise";"area_building_lightweight";"area_building_multifamily";"area_building_singlefamily";"area_building_skyscraper";"area_other_airport";"area_other_parking";"area_other_remaining_impervious";"area_rail_bridge";"area_rail_exclude";"area_rail_other";"area_rail_railway";"area_rail_subway_elevated";"area_rail_subway_surface";"area_rail_subway";"area_rail_tram";"area_rail_tunnel";"area_street_bridge_motorway";"area_street_bridge_other";"area_street_exclude";"area_street_local";"area_street_motorway_elevated";"area_street_motorway";"area_street_other_elevated";"area_street_primary";"area_street_secondary";"area_street_tertiary";"area_street_track";"area_street_tunnel"
1793;226757;293;0;114489;1458;421448;0;161337;32034;291477;4253;398972;0;1675117;0;0;0;0;0;0;8063;3478;70562064;0;0;8063;3827326;1247249;4485497;4542557;265
1794;3747064;254;0;1188879;996;3561679;0;438635;154431;1459268;21147;25539;0;3025958;0;0;0;0;0;18697;64714;32461;24361726;18697;2086096;64714;2973345;898603;458659;3520057;3859
1795;5666654;551925;66557;1544097;5031013;12953480;8746;793631;5897072;22165592;39778;364899;75947;3658665;0;0;0;0;2599;472539;190925;267039;33466604;479334;5557005;190925;605988;1313872;3766591;370294;21238
1796;713084;27321;486;655185;173949;4627682;0;80607;241368;966246;21481;1633872;1101;1163898;0;0;0;0;0;64707;70767;66164;31483504;64707;3091484;70767;0;1086365;2775784;391324;462
1797;4589942;7855997;431403;371866;4292048;3123825;33371;0;1018408;25028847;637121;55438;40258;1450486;567885;333837;349940;0;27164;771367;189673;49851;13368749;776849;3150479;189673;537237;492570;2083835;78502;65856
1798;3109970;201338;3997;1356753;2351339;11046593;357;239783;1365412;9938958;41427;280969;29468;2310760;0;0;0;0;8203;538279;109762;146752;28723615;539600;8133714;109762;755111;1109347;2459656;66255;2961
1799;1334470;26163;816;1145130;628912;7521582;0;189048;341623;2658589;32898;1119241;101349;3266398;0;0;0;0;0;193846;93429;247897;36482982;194047;4338325;93429;1106162;1941986;2732916;839398;163
1800;1738534;12622;497;923383;351745;6560422;0;24906;104387;3635029;19112;935923;1441;770354;0;0;0;0;0;13805;37519;35304;22017849;13805;1092017;37519;0;914387;4061002;194743;469
1801;2658400;39949;2480;1624570;510535;11642850;0;321147;401543;6152525;36991;1115373;14739;2864797;0;0;0;0;0;244046;99656;6521;34852361;244101;7274568;99656;0;3053013;3218029;196443;3606
1802;2157612;25198;0;776117;216405;5995105;0;198692;220710;4361558;25290;538005;25791;1038564;0;0;0;0;139;111720;67535;19721;16308903;111825;2346532;67535;630367;785599;1157865;101335;546
1803;857032;13752;479;719542;272514;4841657;0;87551;78793;1218712;18258;647805;11411;1196057;0;0;0;0;0;28186;40871;209913;24590387;28186;1200177;40871;0;1340939;3032852;478191;88
1804;1950976;10119;0;849518;87286;6425619;0;1104965;413864;8004001;12440;908216;35353;1038841;0;0;0;0;0;55714;71717;64650;23561912;55826;3577095;71717;943362;1011539;3533268;779129;287
1805;907255;43323;849;727209;1206517;5318168;0;122315;389312;4111804;20902;873181;6292;1519642;0;0;0;0;2918;49395;74590;232399;26133674;49411;2984554;74590;900382;1899635;2240925;199290;1263
1806;1009601;21309;0;503838;310946;3489915;0;51408;160417;2276123;5235;257174;15275;675018;0;0;0;0;0;85415;32374;284428;12542387;85415;2607002;32374;0;722327;2286113;552245;0
1807;751991;70539;8026;666512;313939;5048789;0;101034;76872;1718384;12833;1246950;208802;644112;0;0;0;0;1987;200895;82555;148405;38054315;200895;3296686;82555;324162;408533;4748936;957963;0
1808;2729112;259351;5635;1394532;7173762;11651829;0;324787;2366433;20431255;27851;1140446;15023;2233676;0;0;0;0;2477;198369;101461;405486;49191754;198369;4672641;101461;943127;2331667;2953832;275239;1885
1809;16854407;392346;87107;6314243;4218992;53307115;30512;849905;8108896;59222149;126935;2142534;144929;8229503;0;0;0;0;102071;904640;443151;225903;78063183;907537;12585035;443151;759545;6236581;6157041;420402;25103
1810;452825;8627;1183;517217;100129;4175431;0;357317;446191;2737828;10790;319659;11961;1793123;0;0;0;0;5146;55881;68141;1783244;24677514;55881;5044914;68141;0;1857786;3073253;1303851;2177
1811;840304;4427;0;535332;130747;3992156;0;323116;163420;2487711;5814;1924085;10560;827233;0;0;0;0;0;0;49387;172222;27936549;0;0;49387;1017897;2597934;2110050;967346;244
1812;914352;27815;0;522199;309231;4088829;0;110706;233100;2473772;64;228988;704;0;0;0;0;0;0;0;20981;37706;12641392;0;0;20981;0;0;2483071;279264;0
1813;1815608;24919;0;643891;544693;4689926;0;210313;733001;2972829;17224;1050895;30273;1601847;0;0;0;0;91;23718;37736;61839;16751560;23718;2856824;37736;0;2263283;1473623;254389;125
1814;606373;14470;15199;480093;1320378;3800262;0;104648;207143;2542988;8412;447453;1289;624065;0;0;0;0;116;38780;77877;294542;20864321;38780;2008740;77877;615818;316236;2989288;349891;1950
1815;55850;1699;0;121717;44688;1061599;0;37456;37248;175875;1043;185450;0;306400;0;0;0;0;0;0;20077;529591;9603947;0;0;20077;0;1369224;1817834;893401;0
1816;1035292;25993;0;805950;163877;5511132;0;42156;164937;2531882;21280;977160;5426;1399627;0;0;0;0;401;69039;83561;209859;23624059;69205;2880866;83561;0;1839278;2424843;1062077;221
1817;2617911;28573;1469;1276969;176780;9526998;0;994030;506296;13897214;13456;857871;42790;1643984;0;0;0;0;0;77584;106888;202248;36346105;77584;5191214;106888;741478;1574837;5664731;1315198;684
1818;12150625;14377457;474271;1054184;12427166;8684593;110294;95039;1937869;52995048;848222;58764;32566;598887;786989;467340;1311984;0;138542;849711;147227;104299;22557521;855957;1924766;147227;53292;1824580;3224548;93074;57073
1819;634292;17689;690;449861;45075;2919438;0;16959;28018;754015;8690;577809;114683;630427;0;0;0;0;0;0;52169;45272;22845871;0;0;52169;0;1695934;1127344;1413614;0
1820;1458003;14971;0;748066;213705;5608891;0;182821;592376;1882427;16486;1077253;20578;1413667;0;0;0;0;0;73976;56112;114923;20637940;73976;3206236;56112;0;1239911;2853774;260394;331
1821;994433;11115;0;850984;190759;5862544;0;115329;151926;1790299;9799;943508;2400;599069;0;0;0;0;2014;12181;42057;170458;21795170;12181;1451049;42057;0;1179449;2117717;412460;404
1822;12858924;178387;33988;4848456;1419973;42421389;30337;592309;9698773;32625214;71790;1256455;121809;3013247;0;0;0;0;19312;533486;303338;677650;64301115;534921;11846096;303338;1180778;3194534;6410605;82432;21430
1823;1029185;28832;0;552138;406067;3704615;0;33030;390326;3447144;9496;482059;1570;1215153;0;0;0;0;451;66342;71473;151;13641902;66342;3116506;71473;340302;697325;2471182;131133;382
1824;14549653;680726;40821;5398724;10553506;47959781;0;0;12124248;99768811;242876;106669;1483;2279185;0;0;0;0;1294;313743;174990;396229;69743527;315670;7824717;174990;1825821;3207465;6794170;139563;7196
1825;661232;9854624;7495805;10749;931180;95553;2081835;1900;660011;9890409;251274;191073;361;952633;105529;109529;2138904;0;725094;820001;301332;55897;7663930;827102;1747060;301332;149;1783761;2185650;18307;449165
1826;4078063;44315;6945;1738383;663198;14162205;39825;687741;1688936;13964084;28875;914778;105389;2269542;0;0;0;0;0;187440;151443;117893;26165883;187806;2250308;151443;296097;2010174;3581173;174406;4926
1827;4545841;119499;6216;2169018;552455;16718256;0;877926;1784645;9883999;28481;1150003;80636;2747403;0;0;0;0;789;239085;154056;160369;43511441;239466;5484060;154056;1571605;2321754;4300852;460447;2944
1828;9112707;266745;32789;3207827;1875539;27368067;3742;680080;4531177;30304871;35471;686779;79436;3714654;0;0;0;0;0;639451;167581;529664;46698354;644547;10122063;167581;698587;2503740;5195169;373605;2855
1829;2703008;27686;355;1115824;497319;9104246;0;164916;1198211;4174246;11049;780833;5085;1166043;0;0;0;0;0;62795;48830;119670;27127153;62795;2578571;48830;538638;1411397;2452010;189942;1514
1830;4772918;408882;16602;1780448;6081849;15175582;0;1098966;3624968;19667931;50858;1168778;33382;2947448;0;0;0;0;34394;288822;182810;1252727;55634672;289712;8857566;182810;1007622;1086107;5374788;1752204;10656
1831;749749;9546;0;471868;242964;3488605;0;81987;73570;1290736;2844;271359;3725;522699;0;0;0;0;0;33473;41266;6997;11248185;33473;1129524;41266;0;1073409;1892096;87770;673
1832;1889888;40039;5684;1184122;571264;9036084;0;237680;867214;5045000;11630;755877;199580;1367036;0;0;0;0;1685;36742;76249;93530;29292750;36742;3603422;76249;249815;1966691;2934481;851012;902
1833;808276;14031;0;797136;244686;5400765;0;55981;376148;1878763;13418;537124;685;1375698;0;0;0;0;0;86802;62247;7094;31493309;86802;3249135;62247;0;1011873;3587171;257346;1077
1834;435553;71823;0;406804;2488629;3559419;0;7370;467021;3514687;8145;209998;0;849063;0;0;0;0;9249;100617;32100;621883;16065567;100617;2414522;32100;6935;856325;1003257;94271;2069
1835;12111226;7970124;386899;2621401;8382963;21019260;77581;4180811;4608871;75184624;949268;226756;71002;2694954;586342;319675;562500;0;228644;1074507;455051;145990;37328963;1085914;6098894;455051;645034;3206673;2503037;95639;69549
1836;1532175;156821;2810;1111290;1574431;8757236;0;42830;1550461;13091464;47374;644888;7207;1689903;0;0;0;0;0;173456;97079;280010;27811906;173874;2052368;97079;15164;1260043;3425053;306248;3105
1837;1775776;580158;19232;1098686;3846894;9772725;0;0;1348315;21233952;25139;43324;19893;263561;18132;336679;24952;0;0;300234;76805;122691;15599634;300452;2050305;76805;0;611203;1094389;13903;2122
1838;2406644;330978;18085;1105929;4709021;9832358;0;2398;1361595;10202581;16579;271986;62343;855282;0;0;0;0;6376;265078;119259;607042;21549810;266150;3874141;119259;214272;1634033;475453;306382;925
1839;1636847;16076;454;1172862;296745;7998754;0;361385;1287391;5597667;35124;2157860;212781;3078137;0;0;0;0;0;0;190181;415248;52585918;0;0;190181;1940387;3351494;5229144;1506505;1936
