"zone","mass_grand_t_10m2","mass_building_commercial_industrial","mass_building_commercial_innercity","mass_building_highrise","mass_building_lightweight","mass_building_multifamily","mass_building_singlefamily","mass_building_skyscraper","mass_building","mass_other_airport","mass_other_parking","mass_other_remaining_impervious","mass_other","mass_rail_bridge","mass_rail_other","mass_rail_railway","mass_rail_subway_elevated","mass_rail_subway_surface","mass_rail_subway","mass_rail","mass_rail_tram","mass_rail_tunnel","mass_street_bridge_motorway","mass_street_bridge_other","mass_street_local","mass_street_motorway_elevated","mass_street_motorway","mass_street_other_elevated","mass_street_primary","mass_street_secondary","mass_street_tertiary","mass_street","mass_street_track","mass_street_tunnel"
557,25020147.7362061,992542.523193359,57882.23046875,0,286269.203689575,118899.960998535,2075913.17492676,0,3531508.20104981,72264.8515625,72796.2949829102,1167448.73937988,1312510.06066895,15723.0026245117,55439.9528808594,0,0,0,0,133482.402832031,0,62319.4125976562,233885.426269531,84571.2782592773,15133324.8798218,62973.2739257812,2950901.06152344,17836.686340332,0,22709.669921875,983137.755859375,20042664.2945557,488667.335372925,64685.9873046875
558,7492598,447491.5625,0,0,175778.84375,6822.9208984375,1725402.625,0,2355498,256490.59375,3987.96215820312,142068.59375,402547.3125,173.264877319336,0,0,0,0,0,173.264877319336,0,0,0,8215.669921875,3837639.25,0,0,1732.74365234375,0,0,718355.3125,4734380,164513.53125,3919.93505859375
559,44219982.5629883,6323120.8528595,58200.9053726196,0,1057586.89019203,71670.958404541,11058878.0593567,0,18569440.6134644,362779.0625,409034.90625,4371113.59719849,5142921.09719849,11284.2707519531,1888.92724609375,872291.234375,0,0,0,885464.5234375,0,0,0,57481.0695800781,15140462.9057312,0,0,12123.1687011719,449831.0625,2060681.07006836,1149820.625,19622113.8295898,750187.873779297,1470.56665039062
560,19124840.3125,529093.792999268,1361.23681640625,0,261705.897033691,25684.3712234497,3125672.60595703,0,3943521.453125,903194.880859375,38902.0144042969,292159.876800537,1234255.36328125,5141.24169921875,1130.89526367188,391026.8515625,0,0,0,397298.9921875,0,0,0,37286.8180236816,9723848.375,0,0,7864.0620803833,0,1165037.29296875,0,13549748.135498,2615709.81103516,0
561,11600218.6406555,799837.961914062,0,0,181194.354492188,2801.66064453125,1650383.453125,0,2634216.83984375,193954.203125,200692.923095703,235002.837036133,629649.463623047,8110.37109375,86.1399993896484,562249.0859375,0,0,0,570445.578125,0,0,0,42004.397644043,5679604.11721802,0,0,8859.02675628662,0,883092.9140625,404987.28125,7765909.57815552,747375.259765625,0
562,43501780.029541,6709789.3125,245077.685058594,5420.19384765625,1476915.875,407218.40625,10134205.25,0,18978632.25,561843,213826.25,7331244.4375,8106913.75,16353.0535888672,0,791749.474914551,0,0,0,808102.217041016,0,0,44710.05859375,109123.801269531,9839354.75,11896.876953125,2177680.5,23015.01171875,1020820.71875,737097.9375,1634963.125,15608092,5158.91552734375,4260.38757324219
563,7168659.18261719,433010.671875,28888.8369140625,0,143224.2265625,100847.509765625,1325362.8125,0,2031333.375,108519.890625,11940.48828125,556493.025924683,676953.525924683,34715.984375,14766.2421875,501439.625,0,0,0,550921.734375,0,0,172582.140136719,72954.8542480469,2104562.5625,45982.5061035156,312457.15625,15386.7024841309,156548.5,775435.90625,206117.15625,3909458.62451172,47422.865234375,0
564,15051670,1171571.625,10163.0712890625,0,536168.75,234950.71875,3385845,0,5338698.5,168830.859375,0,524090.71875,692921.5625,7894.57763671875,0,960465.25,0,0,0,968359.875,0,0,35711.92578125,28243.857421875,4414229.5,9502.56640625,2263470.75,5956.83251953125,0,564968.0625,722463.875,8051658.5,6152.2822265625,983.530151367188
565,24995244,2890615.25,27255.107421875,841.820251464844,873971,505700.46875,9166175,0,13464551,451661.90625,4977.53369140625,2655386,3112025.5,11589.84765625,2894.30297851562,449948.75,0,0,0,464433.0625,0,0,4288.599609375,68138.5078125,3971301,1141.15148925781,1428491.75,14370.9130859375,475059.84375,1041547.8125,923168.0625,7954250,26750.935546875,0
566,6474417,722019.625,5356.4912109375,0,158891.625,18423.03125,1052193.75,0,1956883.625,103046.875,0,534867.8125,637914.4375,0,0,0,0,0,0,0,0,0,0,4970.908203125,3098076.5,0,0,1048.400390625,0,316293.3125,452843.9375,3879618.5,6389.658203125,0
567,34586268.4375,2935872.85351562,91422.8203125,1729.95434570312,1012158.05664062,471062.531738281,7726133.42578125,0,12238379.046875,25798.06640625,12224.689453125,2099371.79589844,2137396.54589844,50322.41796875,616.516296386719,2574397.78515625,0,0,0,2625335.28515625,0,0,272719,135086.307128906,8564316.28125,72671.78125,5303854,28490.635925293,26454.994140625,2057849.375,1091301.0546875,17585145.171875,27786.8312988281,4619.7548828125
568,4595506,207099.375,10154.275390625,670.159545898438,222794.859375,17273.220703125,1244208.5,0,1702197.625,0,0,113596.9921875,113596.9921875,0,0,0,0,0,0,0,0,0,0,5949.91845703125,2217221.75,0,0,1254.880859375,0,311736.25,232600.765625,2779703,10935.623046875,0
569,16707055.125,1798636.734375,29948.5728759766,972.808654785156,594400.47265625,290678.05078125,4752920.0625,0,7467556.6875,90328.994140625,0,889195.20703125,979524.31640625,31486.9555664062,2330.08703613281,1659408.3203125,0,0,0,1693225.53125,0,0,0,49836.4486083984,4360668.90625,0,0,10510.8731994629,0,1868364.109375,264046.78125,6566766.125,13348.7006988525,0
570,9733009.5,1219271.03125,19665.2524414062,1701.74780273438,293079.515625,80644.3271484375,2339918.6875,0,3954281.625,62118.78515625,0,1326887.9765625,1389006.7265625,7474.017578125,575.292175292969,272225.875,0,0,0,280274.78125,0,0,0,26353.1149902344,3303566.5625,0,0,5558.06311035156,0,205262.90625,563245.4140625,4109445.125,5461.97210693359,0
571,89989758,13413994.25,1469320.42382812,202270.34375,2554789.375,4083044.40625,25884604,0,47608134,1030079.71875,842153.828125,7535163.5,9407397.25,32839.998046875,1074.90411376953,2877494.8125,0,0,0,2911410.25,0,0,163146.71484375,195631.65625,15994649,43490.24609375,8434141.75,41260.1171875,61657.33203125,2145519,2967105.1875,30062783,9358.41491699219,6823.2412109375
572,24562079.03125,2627191.5234375,182646.732269287,3956.23364257812,846328.794921875,249357.3150177,6332151.828125,0,10241621,210245.578125,0,1765285.4296875,1975530.9296875,13887.970703125,297.798278808594,1197961.83007812,0,0,0,1212148.08007812,0,0,0,56207.1953125,7804493.09375,0,0,11854.501953125,1435450.375,1344013.52148438,439841.71875,11132791.9375,40927.6162109375,0
573,17111648.2365341,1482198.31445312,10723.9609375,0,479810.774414062,450277.02734375,3369940.328125,0,5792948.90625,29905.546875,0,668587.776367188,698493.245117188,10520.330078125,0,552840.640625,0,0,0,563360.953125,0,0,61955.2509765625,36453.8081054688,5626710.29903412,16485.6450195312,3076037.1875,7688.37026977539,0,906408.00390625,308926.267578125,10056848.8302841,16199.3824081421,0
574,12763094,1318906.375,8073.68212890625,0,402942.15625,69874.3828125,2758514.75,0,4558313,86927.875,10094.3154296875,642927.25,739949.5,10290.359375,90155.484375,419224.125,0,0,0,519667.6875,0,0,0,29773.9296875,5635971.5,0,40486.07421875,6279.5341796875,729767.6875,441497.90625,23795.951171875,6945184,37597.73046875,0
575,24813364.78125,3152908.38085938,26575.9296875,0,1022840.07617188,423933.667602539,7584807.3515625,0,12211076.8125,0,27861.51953125,2007540.57226562,2035401.32226562,27975.9744262695,126465.859375,874264.1875,0,0,0,1035696.31427002,0,6990.55517578125,40952.984375,65301.6689453125,6182663.625,10897.1611328125,806176.1875,13772.5875244141,726091.8125,255512.671875,1414579.859375,9531199.578125,15245.9458312988,0
576,29492830,4139475.75,74154.7109375,2064.00244140625,891170.3125,1003742.0625,8083654,0,14194273,444534.0625,101144.0390625,2675576,3221255.75,13350.84765625,0,1179904.375,0,0,0,1193255.375,0,0,51598.57421875,110623.828125,6449900.5,13729.837890625,2393585.75,23331.373046875,0,1224822,576041.4375,10884048,40412.18359375,0
577,1334395693.62317,284318209.9097,18312371.2656555,17882261,33790243.9056149,127801260,389819800.709442,54141422.75,926067370.290375,7791827.39208984,12584658.4948106,181036116.623795,201412537.13356,2938001.875,162077.3359375,29088632.3686523,6076071.875,5088207.5,4419155.6875,48662234.8686523,291.030151367188,889763.995117188,3928192.1875,1867379.375,82312811.3469238,1050630.359375,27872180,393844.0390625,3308544,18043857.7056122,16311570.0170593,158256368.327026,185691.546180725,2981491.84375
578,15650699.8125,1930676.24609375,55800.439453125,0,563621.490234375,410597.697265625,3930173.390625,0,6890877.859375,148674.75,12225.2607421875,998705.155273438,1159604.78027344,13113.0021972656,0,514828.91015625,0,0,0,527941.9375,0,0,0,13011.9573974609,6096681.03125,0,0,2744.31579589844,0,681616.25390625,244805.859375,7072262.40625,7063.75085449219,26347.267578125
579,12974513.5,833752.34375,19399.5981445312,0,334058.21875,147390.9140625,2459662.5,0,3794263,0,326.433074951172,317287.8125,317614.25,5919.35864257812,0,626451.921875,0,0,0,632371.3125,0,0,57318.34375,39699.9921875,3810071.625,15251.8090820312,3219591.25,8373.0146484375,0,557433.421875,510933.3125,8230267.5,11597.9141845703,0
580,47074188.25,7317794.90234375,192749.33984375,0,1529279.24414062,1170843.00195312,15517327.578125,0,25728009.59375,670113.408203125,254155.522460938,5266286.77050781,6190553.28125,21516.3450927734,3251.16952514648,1801495.078125,0,0,0,1826262.3203125,0,0,23574.087890625,45470.9970092773,8311886.984375,6329.04296875,2015370.40625,9590.16189575195,0,2324522.8984375,577636.70911026,13329320.40625,14554.5456542969,463.393981933594
