"zone";"mass_grand_t_10m2";"mass_building_commercial_industrial";"mass_building_commercial_innercity";"mass_building_highrise";"mass_building_lightweight";"mass_building_multifamily";"mass_building_singlefamily";"mass_building_skyscraper";"mass_building";"mass_other_airport";"mass_other_parking";"mass_other_remaining_impervious";"mass_other";"mass_rail_bridge";"mass_rail_other";"mass_rail_railway";"mass_rail_subway_elevated";"mass_rail_subway_surface";"mass_rail_subway";"mass_rail";"mass_rail_tram";"mass_rail_tunnel";"mass_street_bridge_motorway";"mass_street_bridge_other";"mass_street_local";"mass_street_motorway_elevated";"mass_street_motorway";"mass_street_other_elevated";"mass_street_primary";"mass_street_secondary";"mass_street_tertiary";"mass_street";"mass_street_track";"mass_street_tunnel"
33;10613538,375;621857,501953125;10105,378692627;0;178923,838867188;39064,3247070312;2432096,578125;0;3282049,3125;46383,640625;3442,95568847656;234998,83581543;284825,08581543;8417,52282714844;0;364039,1875;0;0;0;372456,7265625;0;0;0;19507,2033691406;4506775,15625;0;0;4114,2096862793;0;1056422,5;1069523,76953125;6674225,53125;17882,8591308594;0
34;11744477,0588379;1033083,578125;492,535415649414;0;260857,103515625;30098,9780273438;2065872,578125;0;3390404,6875;195858,9375;4883,94165039062;405988,272949219;606731,569335938;1639,71594238281;0;469170,375;0;0;0;470810,125;0;0;0;5652,20822525024;4613768,66821289;0;0;1192,09132957458;285,470275878906;1484119,43408203;1165178,546875;7276520,77758789;6333,04965209961;0
35;42357691,796875;7728559,5;75797,3671875;4159,4345703125;1257702,625;996779,1875;11552936;0;21615994;333313,71875;427527,877441406;5385914,39868546;6146750,99634171;10354,9401855469;0;1369928,68359375;0;0;0;1380283,55078125;0;0;0;52404,2138671875;8293332,609375;0;10582,71484375;11052,4233398438;1702,16967773438;3320708,94213867;1517707,72851562;13214584,9492188;7011,9500579834;0
36;34443341,2550201;3535081,63693237;322596,75;170497,34375;814902,658810616;402279,042724609;9588525,01669312;0;14833873,8698425;144481,96875;198028,40625;3197215,53848267;3539727,03848267;25698,326171875;3053,04760742188;1626417,71875;0;0;0;1655168,46875;0;0;0;133169,625;8616937,2017746;0;0;28086,439453125;675069,6875;2683452,39453125;2169712,39826334;14414582,3500366;105892,495117188;2189,30004882812
37;285419690;45045328,5;6111265,28515625;1027484,9375;5683089,625;22179119,1875;96689836;538069,5;177273926;1401987,84765625;2297480,546875;33638868;37338351,75;106005,000488281;18601,3046875;8679349,828125;0;0;0;8842232;0;38255,859375;2361987,74609375;469681,046875;33400889,5;631414,311523438;15977584,75;99059,2685546875;183418,9375;4608966,875;4136372,90625;61964774;30224,1572265625;65314,90234375
38;12934132,1035156;941445;21335,1243286133;0;189080,927401781;67413,59765625;2654052,34065247;0;3873326,36569977;43606,6328125;12096,2860107422;400253,2890625;455956,109375;10553,40625;0;662547,127685547;0;0;0;673100,502685547;0;0;0;12158,9013671875;6206308,63085938;0;0;2564,40014648438;0;1165350,68959045;520625,259277344;7931753,45458984;24729,6247024536;0
39;39272965;5243785,5625;93086,8930664062;37122,2697143555;1021437,296875;369038,734375;14912976,75;0;21677419;0;880224,97265625;2556230,9375;3436456,375;4492,28564453125;0;344824,78125;0;0;0;349316,96875;0;0;0;222055,0078125;9574968,75;0;0;46832,9375;125898,8046875;2640163,25;1181903,34375;13809749,5;17491,0803222656;411,38037109375
40;22720155,1875;2428547,91943359;15194,8273925781;11104,5810546875;576789,073608398;190071,005859375;7332763,21679688;0;10554460,8242188;349090,80078125;19278,3852539062;1525736,5479126;1894104,8604126;4230,8134765625;36376,875;391000,935058594;0;0;0;431608,587402344;0;0;0;31248,1687011719;6227695,62109375;0;0;6590,46337890625;0;2643007,14453125;894781,904296875;9839950,6796875;36636,5107421875;0
41;54060708,6591797;8467499,67431641;577557,203125;32071,7216796875;1233411,1484375;1369414,86914062;19554357,7578125;0;31234309,357666;433558,9375;987745,71875;5835144,98049927;7256444,23049927;2224,09100341797;0;1015284,453125;0;0;0;1019333,21875;0;1824,72509765625;35642,591796875;51270,6513671875;9021396,80175781;9484,119140625;2341412,375;10813,3505859375;399,445373535156;2226706,60742188;827659,6328125;14550650,4736328;25351,8176594377;524,864624023438
42;43237908,098114;5321813,51367188;32491,09375;4660,95556640625;1167040,89567161;890571,006347656;16872467,7785873;0;24289080,2738686;178917,1875;567532,0625;3025737,07748795;3772185,82748795;14870,853515625;1858,16271972656;787117,9375;0;0;0;805680,5625;0;1833,1728515625;278275,25;167963,21875;7704284,64065552;74046,58984375;3723326,75;35424,67578125;155327,78125;1325973;847550,75;14370991,0781555;58510,5673828125;383,009338378906
43;12980899,5;797011,6953125;28406,013671875;23149,9576416016;226374,01953125;103095,259765625;1502397,46875;0;2680433,625;44490,078125;0;363053,484375;407543,453125;4429,2802734375;0;834646,375;0;0;0;839075,6875;0;0;24528,21484375;16949,46484375;4790438,875;6526,70166015625;2011943,5;3574,76489257812;0;1564684,9375;495990,8046875;9053828,25;139215,8125;0
44;14897628,75;788913,638671875;80932,0234375;0;234295,498046875;368725,703125;2327876,15625;0;3800741,21875;239248,68359375;76647,2631835938;600585,09375;916481,296875;7733,91455078125;0;443960,03125;0;0;0;451693,96875;0;0;117494,09375;41218,6201171875;4658303,125;31263,9462890625;3009076,1875;8693,302734375;0;1205115,75;614750,936279297;9728728,75;42825,892578125;0
45;151341556,731445;24018568,5449219;595259,25;99117,8046875;3814336,16571331;7019281,47824097;63359112,2292709;0;98905571,196373;2109373,75;3206065,81732178;13078250,6738663;18393671,7402725;14448,71875;5919,048828125;958132,375;0;0;0;982012,5;1974,45190429688;1537,49987792969;770425;236732,837890625;21109209,5410156;206243,65625;3301863,75;49928,6810302734;216846,53125;3225547,45544434;3857021,703125;33060013,9101562;35425,33984375;50774,71484375
46;16803586,3203125;1209738,28515625;41445,5725097656;1417,11315917969;287178,762695312;142303,637695312;2362482,07250977;0;4044560,95996094;128662;16226,349609375;1139466,37890625;1284353,50390625;40028,9030761719;0;1851977,3125;0;0;0;1892006,5;0;0;0;78857,5512695312;5683088,66796875;0;0;16631,6215820312;0;2088448,40625;1665351,07617188;9582690,1796875;50348,697265625;0
47;27093692,3154297;3185742,25;2534,43286132812;0;371397,186076462;74715,5078125;5070158,0666008;0;8704539,06517792;107440,703125;22367,51171875;2131779;2261586,5;2457,2109375;0;373777,5;0;0;0;376234,6875;0;0;198729,9375;67879,453125;7289514,3359375;52879,94140625;4133614,14257812;14316,25;0;1865119,5;2081556,625;15751310,2490234;44086,0607528687;3636,22412109375
48;45383464;6396328,109375;152520,593994141;3217,07836914062;1492019,3515625;1407566,6640625;17740653,25;0;27192288;350963,84375;45240,0764160156;4945313,47265625;5341514,00390625;6023,3173828125;1693,26599121094;344554,25;0;0;0;352270,71875;0;0;0;69983,4533691406;8734275,375;0;0;14760,0106048584;0;1800472,7109375;1869194,9609375;12497404,5;8712,08404541016;0
49;142009263,863281;25379148,25;1445911,34375;350736,5;3747274,80177689;4025083,08203125;38454579,9653625;516966,9375;73919717,7085571;2113024,75;1488801,2824707;16439430,125;20041295,6875;97370,1131591797;16783,12890625;4195502,84204102;0;0;0;4323035,08618164;0;13377,09375;1396014,5;457345,768066406;28096605,2382812;373062,65625;5819949;96456,7736206055;622743,3125;3403139,59375;2538693,40100098;43725352,65625;698481,841308594;223228,25
50;16142016;1161433;72020,9453125;0;295910,65625;110544,5390625;2203613,75;0;3843516,5;106059,96875;29263,693359375;994911;1130234;4224,51318359375;0;1421870,875;0;0;0;1426095,125;0;0;0;18938,96875;6821883,5;0;0;3994,36694335938;0;1387954;1422157,875;9742096;52589,74609375;34593,78515625
51;91943976;18789428;439443,4375;9276,654296875;2302134,5;3734381;24574418;200593,734375;50049640;1358549,5;973706,875;14432582;16764837;18931,548828125;1823,09191894531;2448156;0;0;0;2468910,75;0;0;644367,5625;176980,21875;10905019;171835,984375;4399139;37326,4140625;351523,3125;4110261,5;1832733,125;22660440;25423,818359375;5820,796875
52;59824156;12114698;414282,53125;134174,287841797;1464576,56640625;1429825,640625;21546412,0625;0;37103974,5;103607,265625;362407,01953125;7088525,75;7554536;12155,3193359375;106,444427490234;1244597,625;0;0;0;1256859,8125;0;0;109928,7890625;83443,41015625;8535627,8125;29250,89453125;1950395,5;17598,8212890625;820,194511413574;2133622,625;1039303,9375;13908696,25;5491,4580078125;3243,75830078125
53;8793797,78125;391916,774841309;330,045959472656;0;117672,474365234;50974,7985229492;957059,541992188;0;1517955,2421875;192826,203125;5532,81298828125;211455,667547226;409814,886297226;0;0;99979,765625;0;0;0;99979,765625;0;0;0;18085,923828125;4686818,25;0;0;3814,45043945312;0;881144,018554688;1161249,109375;6766036,59375;14950,09765625;0
54;17733232,1367188;1420936,81835938;6877,3046875;0;347403,709274292;169560,09375;4075623,45123291;0;6020396,8225708;125291,7734375;15868,5283203125;492473,43347168;633633,80847168;25698,33203125;0;967005,362792969;0;0;0;992704,237792969;0;0;0;85941,0546875;6674687,1328125;0;90621,5166015625;18125,56640625;285,470275878906;1761100,625;1193261,36523438;10086551,6328125;262557,028930664;0
55;18800190,0078125;2680096,15209961;43171,7548828125;0;501005,794921875;510109,26914978;3689471,4609375;0;7423850,15332031;313721,26953125;16113,3505859375;1525035,89794922;1854871,16357422;5155,41796875;0;990202,71875;0;0;0;995358,0625;0;0;0;33362,1950836182;5648863,20507812;0;0;7036,32750701904;1148,27221679688;1848914,99804688;964617,4296875;8526108,22265625;22162,2038269043;0
56;16665340,3320312;1786671,43882751;35245,8037109375;1307,57949829102;360344,286376953;200498,1796875;4867374,43017578;0;7251430,99951172;43244,7734375;13774,6787109375;734083,491394043;791102,772644043;6481,68151855469;0;552878,03125;0;0;0;559359,90625;0;0;0;43212,4169921875;6517619,15917969;0;0;9113,80932617188;0;619137,8125;824514,385986328;8063455,03320312;49853,8276367188;0
57;20602247,5;2574022,75;73926,328125;3796,439453125;467399,59375;236440,25;4768485;0;8124060,5;42038,46484375;61603,9597167969;2927057,640625;3030700,6484375;5969,76293945312;12551,8245239258;656917,190917969;0;0;0;675439,870117188;0;0;14942,419921875;61128,013671875;4973567,95898438;3983,927734375;256614,775634766;12892,3253173828;207274,84375;1714674,16833496;1511409,375;8772060,22265625;15605,2387390137;0
58;42130566;3845105,640625;111083,249267578;1048,46435546875;996378,8671875;1472146,1484375;13817088,625;0;20242853,125;61753,88671875;262489,931152344;2546435,125;2870680,59375;12640,4609375;0;1515257,6171875;0;0;0;1541101,9296875;0;13203,9111328125;74223,4880371094;60781,638671875;8836692,40625;19750,0874023438;5031000,65625;12819,2817382812;0;2210080,57421875;1164473,03082275;17475909,6875;62451,3336181641;3640,953125
59;88128526;9309772,5;520141,1875;50036,90625;1906705,578125;7843493,25;30501666;0;50131826,25;109560,4765625;420254,11328125;11661518,6875;12191335;44133,72265625;3807,38818359375;2964670,375;0;0;0;3070930;0;58319,41796875;113596,7109375;107539,463867188;15941524,25;30258,515625;2368180;22680,8217773438;0;2469080,75;1630991,46875;22734250;48297,3232421875;2142,01513671875
60;15403847,1875;815741,748046875;7697,84130859375;0;169637,991472721;134218,168457031;2279847,90475464;0;3407150,50219727;15014,4287109375;48727,5546875;575283,478759766;639024,978759766;6133,5771484375;0;570487,053985596;0;0;0;576620,553985596;0;0;141999,203125;106730,66015625;4625344,27001953;37784,5;2859360,04443359;22510,2689819336;377,076446533203;2287726,65158081;657473,387084961;10781083,9130859;34264,7734985352;7518,33154296875
61;46151607;6444475,25;105356,6328125;0;916436,546875;1217298,1640625;13143727,75;0;21827279,5;482466,34765625;174370,700439453;4659412;5316248,625;43172,88671875;0;2684062,84375;0;0;0;2737241,15625;0;10006,421875;34589,4248046875;100010,802734375;10316575,1875;9203,88232421875;1912405,9375;21092,9877929688;164919,65625;2367478,5625;1316201,6015625;16270892,875;21109,1740722656;7286,6328125
62;24502016;2403772,578125;78578,9169921875;140,586181640625;491780,8125;814504,3984375;7716741,0625;0;11505517,75;278835,0859375;47549,6483459473;996434,8046875;1322819,25;7296,0244140625;0;542608,75;0;0;0;549904,875;0;0;0;48846,0068359375;7825175,1875;0;0;10301,974609375;0;1056961,375;2161475,53125;11123810,75;21036,5994262695;0
63;86354442;13322346,875;478047,753417969;139707;1671398,046875;1972274,578125;26924158,75;0;44507855,5;451312,0625;1186670,00976562;8025320,40625;9663296,125;49583,70703125;2853,07861328125;2114713,109375;0;0;0;2167151,125;0;0;455430,328125;281061,81640625;16980539,25;121291,0390625;5200150,125;59277,8837890625;57507,34765625;3931733,125;2639626,34375;30016194;31509,333984375;258081,997314453
64;38289025,5;3270691,4765625;84200,8884277344;2610,22998046875;770724,220703125;476059,7421875;11468402,84375;0;16072684,03125;152262;38745,09375;2382361,1640625;2573370,5390625;38392,3498535156;3878,75971221924;1989226,6484375;0;0;0;2031497,828125;0;0;365562,73828125;105794,578125;9312366,59375;97312,7900390625;4586052,1875;22312,8389892578;0;1508102,90625;1587956,91998291;17611476;25087,5671386719;917,330993652344
65;15262683,5924683;795393,089225769;78167,0078125;46297,4375;268349,50422287;82804,8359375;1922229,49856567;0;3193244,59214783;52641,8984375;233,411071777344;913798,908416748;966674,158416748;13727,3125;0;626513,4375;0;0;0;640241;0;0;0;21446,61328125;7870138,18572998;0;0;4523,24560546875;0;2078376,75;387999,21875;10462563,9303589;100085,534423828;0
66;12575493;456823,506835938;49152,92578125;16298,1650390625;140445,43359375;38063,6005859375;1128888,953125;0;1829672,484375;73720,810546875;3464,64208984375;291877,890625;369063,064453125;32079,2114257812;0;956926,78125;0;0;0;989005,671875;0;0;0;34770,6015625;6063783,75;0;0;7333,380859375;0;2039761,15625;1215948,109375;9387747;26152,5317382812;0
67;18020025;2150830,75;13987,5966796875;0;390488,21875;191983,56640625;5324195,75;0;8071486,25;140081,86328125;4271,0234375;1240272,1875;1384626,625;2477,68774414062;0;390947,546875;0;0;0;393425,171875;0;0;0;26403,2080078125;6270871,625;0;0;5568,62924194336;0;1196856,625;646175,8125;8170491,75;24623,9672851562;0
68;76508060,0773417;3735592,87145615;274807,645141602;163087,0390625;206254,258544922;14224,3271560669;2808417,55664062;0;7202392,04040146;757547,5625;141625,755432129;1800231,73440742;2699407,40194893;47433,6376953125;628,821960449219;2678481;0;0;0;2726542,5234375;0;0;59274,4521484375;127372,905761719;28942055,1266785;15772,3107910156;5796516,36523438;26863,869934082;7378612,70654297;8714559,375;2806062,73983765;63879861,89033;10002504,6305033;10407,4523010254
