FIPS,grid_index
6051,0.190559961
6053,0.384141498
6055,0.358398051
6057,0.142068526
6059,0.39979825
6061,0.284883211
6063,0.143523548
6065,0.405773357
6067,0.39601604
6069,0.381658999
6071,0.460071986
6073,0.39551528
6075,0.742497416
6077,0.498580103
6079,0.372804079
6081,0.411651812
6083,0.45521414
6085,0.424826845
6087,0.280545853
6089,0.300546485
6091,0.094354334
6093,0.202599679
6095,0.374802756
6097,0.322052937
6099,0.486966575
6101,0.475946148
6103,0.337373271
6105,0.077667671
6107,0.551103589
6109,0.119251507
6111,0.392024136
6113,0.43760386
6115,0.384269706
8001,0.450721128
8003,0.52543257
8005,0.403939423
8007,0.124975958
8009,0.625869341
8011,0.501874305
8013,0.413887552
8014,0.359389547
8015,0.350059731
8017,0.572927679
8019,0.231603526
8021,0.537166271
8023,0.209319776
8025,0.538104808
8027,0.240119552
8029,0.339640385
8031,0.672967445
8033,0.214965159
8035,0.236147026
8037,0.150393861
8039,0.273887792
8041,0.349926831
8043,0.427193955
8045,0.234375441
8047,0.163175628
8049,0.153933077
8051,0.304954568
8053,0.217385743
8055,0.366330796
8057,0.161897469
8059,0.365856357
8061,0.550667798
8063,0.600687915
8065,0.325513013
8067,0.257705378
8069,0.408217388
8071,0.380418796
8073,0.532479171
8075,0.61884324
8077,0.438746937
8079,0.183207969
8081,0.358247966
8083,0.391042939
8085,0.352839434
8087,0.550978532
8089,0.548848252
8091,0.198879182
8093,0.159223275
8095,0.781084158
8097,0.208704052
8099,0.618806766
8101,0.524567294
8103,0.158443749
8105,0.570802505
8107,0.211837169
8109,0.433123716
8111,0.453498816
8113,0.230145046
8115,0.676868619
8117,0.198240477
8119,0.244939423
8121,0.628414336
8123,0.49128874
8125,0.528066487
9001,0.287681848
9003,0.353487551
9005,0.204266456
9007,0.211093652
9009,0.309320818
9011,0.214654431
9013,0.18604648
9015,0.213669766
10001,0.267201946
10003,0.382607557
10005,0.272795964
11001,0.614857477
12001,0.425084848
12003,0.321094825
12005,0.490185654
12007,0.375198268
12009,0.434540188
12011,0.488770351
12013,0.336943162
12015,0.409687065
12017,0.379111685
12019,0.306718726
12021,0.405781555
12023,0.365836308
12027,0.423699596
12029,0.424660669
12031,0.416432662
12033,0.430824022
12035,0.275748449
12037,0.380568868
12039,0.33008869
12041,0.433097308
12043,0.289719904
12045,0.361635533
12047,0.352415451
12049,0.466821398
12051,0.504499466
12053,0.384006927
12055,0.396035522
12057,0.46205601
12059,0.278003303
12061,0.45868259
12063,0.361633684
12065,0.32644024
12067,0.429972314
12069,0.372264192
12071,0.437837707
12073,0.363624873
12075,0.447439421
12077,0.219193479
12079,0.362044211
12081,0.425501782
12083,0.417862045
12085,0.360047601
12086,0.580062523
12087,0.410101395
12089,0.294038249
12091,0.375453211
12093,0.458430648
12095,0.435617707
12097,0.37492459
12099,0.445444741
