"","FIPS","POPPCT_URBAN","POPPCT_RURAL"
"78","04019",92.4765088552766,7.52349114472341
"79","04021",78.0953774915507,21.9046225084493
"80","04023",73.1168283424715,26.8831716575285
"81","04025",66.8028223074116,33.1971776925884
"82","04027",89.5704236504539,10.4295763495461
"83","05001",65.2926021347074,34.7073978652926
"84","05003",48.3183086990345,51.6816913009655
"85","05005",34.157974610363,65.842025389637
"86","05007",74.8399513867868,25.1600486132132
"87","05009",37.8018047313227,62.1981952686773
"88","05011",50.4084115397984,49.5915884602016
"89","05013",0,100
"90","05015",27.1660715586971,72.8339284413029
"91","05017",45.7203389830508,54.2796610169492
"92","05019",45.6229615133725,54.3770384866275
"93","05021",41.1428216128832,58.8571783871168
"94","05023",24.4782441278398,75.5217558721602
"95","05025",0,100
"96","05027",42.5138481590094,57.4861518409906
"97","05029",29.4833826916749,70.5166173083251
"98","05031",67.8317762823637,32.1682237176363
"99","05033",48.0386776005682,51.9613223994318
"100","05035",79.112804997839,20.887195002161
"101","05037",43.2120872971461,56.787912702854
"102","05039",47.3632331197634,52.6367668802366
"103","05041",68.5808733087331,31.4191266912669
"104","05043",51.3912150845535,48.6087849154465
"105","05045",61.2397008045074,38.7602991954926
"106","05047",17.3958620689655,82.6041379310345
"107","05049",7.08044099632503,92.919559003675
"108","05051",63.0967258185454,36.9032741814546
"109","05053",24.9705931776172,75.0294068223828
"110","05055",58.4937039676883,41.5062960323117
"111","05057",44.2301738245831,55.7698261754169
"112","05059",34.0309206329921,65.9690793670079
"113","05061",32.4824135180216,67.5175864819784
"114","05063",31.4159412775943,68.5840587224056
"115","05065",0,100
"116","05067",34.9391565260877,65.0608434739123
"117","05069",69.0837476593272,30.9162523406728
"118","05071",28.6335160532498,71.3664839467502
"119","05073",0,100
"120","05075",36.4398507034166,63.5601492965834
"121","05077",36.4927091327705,63.5072908672295
"122","05079",0,100
"123","05081",31.4782476653253,68.5217523346747
"124","05083",28.9804500514472,71.0195499485528
"125","05085",55.1875475452045,44.8124524547955
"126","05087",0,100
"127","05089",0,100
"128","05091",59.9880355252865,40.0119644747135
"129","05093",63.7327882960413,36.2672117039587
"130","05095",31.0222113142717,68.9777886857283
"131","05097",0,100
"132","05099",30.8213849060798,69.1786150939202
"133","05101",0,100
"134","05103",43.6485451761103,56.3514548238897
"135","05105",0,100
"136","05107",52.0338281932252,47.9661718067748
"137","05109",0,100
"138","05111",28.8614082902819,71.1385917097181
"139","05113",26.6140741457749,73.3859258542251
"140","05115",45.5063639602293,54.4936360397707
"141","05117",0,100
"142","05119",87.7232539425418,12.2767460574582
"143","05121",32.578329344983,67.421670655017
"144","05123",48.4464576403143,51.5535423596858
"145","05125",63.8398775182509,36.1601224817491
"146","05127",29.6447965815009,70.3552034184991
"147","05129",0,100
