"","FIPS","YEAR","RDEATH"
"330","12079","2011",11.412788577
"331","12081","2011",10.584156332
"332","12083","2011",13.097916419
"333","12085","2011",11.364407355
"334","12086","2011",7.2940667362
"335","12087","2011",9.199181993
"336","12089","2011",9.5759882433
"337","12091","2011",8.3008765396
"338","12093","2011",10.48889779
"339","12095","2011",5.8866572695
"340","12097","2011",6.1698570395
"341","12099","2011",9.8091286993
"342","12101","2011",11.906205369
"343","12103","2011",12.411798784
"344","12105","2011",9.826470467
"345","12107","2011",13.146505085
"346","12109","2011",7.8222818861
"347","12111","2011",9.6799599055
"348","12113","2011",8.0026956448
"349","12115","2011",12.992090858
"350","12117","2011",6.6895459656
"351","12119","2011",12.577176949
"352","12121","2011",12.275952203
"353","12123","2011",9.6780608525
"354","12125","2011",12.773959279
"355","12127","2011",12.407675568
"356","12129","2011",7.2494255478
"357","12131","2011",10.196807407
"358","12133","2011",11.212675198
"359","13001","2011",10.545484195
"360","13003","2011",7.6536713705
"361","13005","2011",12.248390147
"362","13007","2011",8.0094927321
"363","13009","2011",8.1426952321
"364","13011","2011",7.3651763551
"365","13013","2011",7.3681192661
"366","13015","2011",8.3630586613
"367","13017","2011",11.749347258
"368","13019","2011",10.532021993
"369","13021","2011",10.300456694
"370","13023","2011",11.792633433
"371","13025","2011",9.9892008639
"372","13027","2011",10.984237309
"373","13029","2011",7.7217571864
"374","13031","2011",6.899634068
"375","13033","2011",10.204517314
"376","13035","2011",10.465238949
"377","13037","2011",8.4071460742
"378","13039","2011",5.3484410285
"379","13043","2011",11.513897634
"380","13045","2011",8.9166738187
"381","13047","2011",7.700548043
"382","13049","2011",7.2221377528
"383","13051","2011",8.3547007752
"384","13053","2011",3.3869602032
"385","13055","2011",10.301293471
"386","13057","2011",5.6036902125
"387","13059","2011",5.3982481157
"388","13061","2011",13.251301467
"389","13063","2011",5.502885566
"390","13065","2011",12.46105919
"391","13067","2011",5.3997036079
"392","13069","2011",9.2156222295
"393","13071","2011",9.7805395707
"394","13073","2011",6.0845132586
"395","13075","2011",10.345432229
"396","13077","2011",6.8011083863
"397","13079","2011",7.9453360877
"398","13081","2011",10.765905141
"399","13083","2011",8.6066807102
"400","13085","2011",7.387839169
"401","13087","2011",11.321843225
"402","13089","2011",6.0613817362
"403","13091","2011",11.342939481
"404","13093","2011",7.8056064617
"405","13095","2011",7.9651432671
"406","13097","2011",6.2481415543
"407","13099","2011",11.114683323
"408","13101","2011",7.9217724966
"409","13103","2011",6.2193312792
"410","13105","2011",13.126252505
"411","13107","2011",12.372779884
"412","13109","2011",9.5450206809
"413","13111","2011",11.197261953
"414","13113","2011",7.1463936402
