"","FIPS","YEAR","RNETMIG"
"286","09013","2011",-2.33766149
"287","09015","2011",-3.732178216
"288","10001","2011",8.0105832363
"289","10003","2011",1.3750843234
"290","10005","2011",11.67114881
"291","11001","2011",16.246185795
"292","12001","2011",4.6678245766
"293","12003","2011",-5.506791093
"294","12005","2011",-0.885580099
"295","12007","2011",-5.231098706
"296","12009","2011",2.881494849
"297","12011","2011",15.516770378
"298","12013","2011",6.7429505517
"299","12015","2011",8.0126601281
"300","12017","2011",-1.224473814
"301","12019","2011",1.2299193517
"302","12021","2011",14.232324941
"303","12023","2011",-3.825906428
"304","12027","2011",-5.818369423
"305","12029","2011",3.4749740901
"306","12031","2011",1.3855141276
"307","12033","2011",1.8713207541
"308","12035","2011",16.772766731
"309","12037","2011",-2.348438723
"310","12039","2011",-11.95792659
"311","12041","2011",-1.176678237
"312","12043","2011",0.1556056952
"313","12045","2011",-2.089334895
"314","12047","2011",-9.836737482
"315","12049","2011",-9.167358429
"316","12051","2011",-9.74596376
"317","12053","2011",4.9216924607
"318","12055","2011",3.3889362393
"319","12057","2011",11.687419973
"320","12059","2011",2.9233134246
"321","12061","2011",9.0924495174
"322","12063","2011",-7.58763721
"323","12065","2011",-12.4299959
"324","12067","2011",-0.79518346
"325","12069","2011",10.638333439
"326","12071","2011",16.607244735
"327","12073","2011",3.6042731743
"328","12075","2011",-10.48583547
"329","12077","2011",-11.19605129
"330","12079","2011",-6.357809161
"331","12081","2011",13.045087892
"332","12083","2011",5.9130492438
"333","12085","2011",9.7767826854
"334","12086","2011",9.7749125359
"335","12087","2011",9.538885907
"336","12089","2011",7.6120302585
"337","12091","2011",7.074985501
"338","12093","2011",-7.234585826
"339","12095","2011",11.879388205
"340","12097","2011",24.548154604
"341","12099","2011",9.4655686276
"342","12101","2011",3.8113591809
"343","12103","2011",5.4129263865
"344","12105","2011",9.2988747372
"345","12107","2011",-6.735555075
"346","12109","2011",23.234500652
"347","12111","2011",6.3936421565
"348","12113","2011",14.625169288
"349","12115","2011",11.61179601
"350","12117","2011",3.9393208027
"351","12119","2011",46.18913619
"352","12121","2011",25.065347274
"353","12123","2011",1.3699538193
"354","12125","2011",-14.2004928
"355","12127","2011",3.2318607266
"356","12129","2011",1.1327227418
"357","12131","2011",5.8654201897
"358","12133","2011",-6.37822466
"359","13001","2011",3.3158481233
"360","13003","2011",-9.327911983
"361","13005","2011",7.4751204575
"362","13007","2011",-38.26757639
"363","13009","2011",-14.546815
"364","13011","2011",-11.34782727
"365","13013","2011",-5.633600917
"366","13015","2011",-3.766873495
"367","13017","2011",-6.243614485
"368","13019","2011",-0.258137794
"369","13021","2011",-1.820366958
"370","13023","2011",4.2882303392
"371","13025","2011",4.1036717063
"372","13027","2011",-17.56236813
"373","13029","2011",22.613717475
"374","13031","2011",23.925249309
"375","13033","2011",3.6719183639
