"","FIPS","YEAR","RINTERNATIONALMIG"
"294","12005","2011",1.0626961191
"295","12007","2011",0.3159724051
"296","12009","2011",1.6006262841
"297","12011","2011",7.7456725455
"298","12013","2011",0.4086636698
"299","12015","2011",1.1634307446
"300","12017","2011",0.3701897578
"301","12019","2011",2.1419358201
"302","12021","2011",5.7058488796
"303","12023","2011",0.4300437458
"304","12027","2011",4.9871737915
"305","12029","2011",0.3657867463
"306","12031","2011",2.9390391045
"307","12033","2011",1.1750153572
"308","12035","2011",2.1288909098
"309","12037","2011",0.4348960598
"310","12039","2011",1.5551609276
"311","12041","2011",0.3530034712
"312","12043","2011",5.5240021785
"313","12045","2011",0
"314","12047","2011",0.8197281235
"315","12049","2011",4.51149529
"316","12051","2011",5.6424000718
"317","12053","2011",0.7518449117
"318","12055","2011",2.0698892
"319","12057","2011",5.3081537533
"320","12059","2011",0.3528136892
"321","12061","2011",1.5502590375
"322","12063","2011",0.3439728868
"323","12065","2011",0.0682966808
"324","12067","2011",1.5903669204
"325","12069","2011",1.9625084
"326","12071","2011",3.9584435342
"327","12073","2011",2.1575128711
"328","12075","2011",0.7171915767
"329","12077","2011",-0.481550593
"330","12079","2011",0.2084527594
"331","12081","2011",2.9340694622
"332","12083","2011",1.3230523028
"333","12085","2011",1.4722844155
"334","12086","2011",14.402446163
"335","12087","2011",3.9541535598
"336","12089","2011",0.392791597
"337","12091","2011",0.9070494232
"338","12093","2011",1.6021228127
"339","12095","2011",8.0848830797
"340","12097","2011",12.682483914
"341","12099","2011",5.3984789385
"342","12101","2011",1.7297046733
"343","12103","2011",2.2257744022
"344","12105","2011",4.2801203578
"345","12107","2011",0.067626055
"346","12109","2011",0.3356094539
"347","12111","2011",2.1908784993
"348","12113","2011",0.0842389015
"349","12115","2011",1.7293047618
"350","12117","2011",2.3923191486
"351","12119","2011",-0.052014793
"352","12121","2011",0.8635175504
"353","12123","2011",0.6186888216
"354","12125","2011",0.6484243289
"355","12127","2011",1.6988504445
"356","12129","2011",0.3236350691
"357","12131","2011",0.5955657423
"358","12133","2011",0
"359","13001","2011",-0.706656157
"360","13003","2011",-0.119588615
"361","13005","2011",-0.360246769
"362","13007","2011",0.5932957579
"363","13009","2011",0.3961311194
"364","13011","2011",-0.109113724
"365","13013","2011",0.7167431193
"366","13015","2011",0.1199004826
"367","13017","2011",-0.227040527
"368","13019","2011",0.3097653527
"369","13021","2011",0.6794327378
"370","13023","2011",0.6891798759
"371","13025","2011",-0.593952484
"372","13027","2011",0.1241156758
"373","13029","2011",0.2595548634
"374","13031","2011",1.1871839996
"375","13033","2011",-0.170786901
"376","13035","2011",-0.042198544
"377","13037","2011",0.1501276085
"378","13039","2011",-0.812170675
"379","13043","2011",0
"380","13045","2011",0.5149446886
"381","13047","2011",0.1086770893
"382","13049","2011",-1.520450053
"383","13051","2011",1.309957538
"384","13053","2011",7.0413120014
"385","13055","2011",0.1161800015
"386","13057","2011",0.3649559166
"387","13059","2011",1.8842941536
"388","13061","2011",-0.946521533
"389","13063","2011",1.2760869732
"390","13065","2011",0.4450378282
"391","13067","2011",1.9177461504
"392","13069","2011",0.4432830946
"393","13071","2011",0.0875216069
"394","13073","2011",0.9773052384
"395","13075","2011",0.0584487697
"396","13077","2011",0.0233180859
"397","13079","2011",0.3178134435
"398","13081","2011",0.3390836265
"399","13083","2011",0.0601865784
"400","13085","2011",-0.31342348
"401","13087","2011",-0.360568256
"402","13089","2011",4.3429117066
"403","13091","2011",-0.09221902
"404","13093","2011",1.1538722596
"405","13095","2011",0.5274929316
"406","13097","2011",0.6248141554
"407","13099","2011",0.1837137739
"408","13101","2011",0.495110781
"409","13103","2011",0.1711742554
"410","13105","2011",-0.400801603
"411","13107","2011",-0.133040644
"412","13109","2011",-0.727239671
"413","13111","2011",-0.253522912
"414","13113","2011",0.9902192495
"415","13115","2011",0.4984630722
"416","13117","2011",0.8479374758
"417","13119","2011",0
"418","13121","2011",2.5134789848
"419","13123","2011",0.564732458
"420","13125","2011",1.6175994824
"421","13127","2011",0.5129648744
"422","13129","2011",0.3430314957
"423","13131","2011",-0.558681512
"424","13133","2011",0.5620433398
"425","13135","2011",2.3748452855
"426","13137","2011",-0.580693115
"427","13139","2011",0.0165607697
"428","13141","2011",0.1062247716
"429","13143","2011",-0.174754906
"430","13145","2011",0.1241156758
"431","13147","2011",0.0789624336
"432","13149","2011",-0.084846428
"433","13151","2011",0.771938342
"434","13153","2011",0.9563120109
"435","13155","2011",0
"436","13157","2011",0.263006493
"437","13159","2011",0.1442949389
"438","13161","2011",-0.528593611
"439","13163","2011",-0.237826268
"440","13165","2011",-0.972940103
"441","13167","2011",0
"442","13169","2011",0.2788136479
"443","13171","2011",0.2745367193
