"","FIPS","YEAR","RBIRTH"
"459","13205","2011",12.877915654
"460","13207","2011",10.319288693
"461","13209","2011",12.215252559
"462","13211","2011",10.891420912
"463","13213","2011",12.649243327
"464","13215","2011",15.653308211
"465","13217","2011",13.750330297
"466","13219","2011",9.3671153817
"467","13221","2011",10.605600027
"468","13223","2011",13.028770122
"469","13225","2011",11.465952591
"470","13227","2011",10.437561622
"471","13229","2011",12.982521482
"472","13231","2011",9.3539081973
"473","13233","2011",14.439561501
"474","13235","2011",7.3084677419
"475","13237","2011",12.538002875
"476","13239","2011",10.876132931
"477","13241","2011",8.2990102662
"478","13243","2011",13.521496554
"479","13245","2011",15.026774845
"480","13247","2011",12.473428085
"481","13249","2011",12.519872814
"482","13251","2011",14.875804331
"483","13253","2011",13.718989368
"484","13255","2011",14.203215233
"485","13257","2011",11.799410029
"486","13259","2011",10.518530693
"487","13261","2011",12.972572276
"488","13263","2011",10.196649672
"489","13265","2011",9.3896713615
"490","13267","2011",13.356641983
"491","13269","2011",9.5254690132
"492","13271","2011",9.5235188181
"493","13273","2011",13.532085844
"494","13275","2011",12.380088877
"495","13277","2011",13.683822626
"496","13279","2011",15.025992395
"497","13281","2011",7.1986739285
"498","13283","2011",10.059775477
"499","13285","2011",13.943853345
"500","13287","2011",13.445378151
"501","13289","2011",11.91011236
"502","13291","2011",7.7894045329
"503","13293","2011",12.635713492
"504","13295","2011",10.401609635
"505","13297","2011",12.845298953
"506","13299","2011",14.108181092
"507","13301","2011",11.868400384
"508","13303","2011",11.126432409
"509","13305","2011",14.577259475
"510","13307","2011",5.049594229
"511","13309","2011",8.3291267037
"512","13311","2011",9.4498571533
"513","13313","2011",14.304816084
"514","13315","2011",11.957341377
"515","13317","2011",10.670805646
"516","13319","2011",14.251781473
"517","13321","2011",11.01749838
"518","16001","2011",12.962235847
"519","16003","2011",4.5322925847
"520","16005","2011",17.088581012
"521","16007","2011",10.901467505
"522","16009","2011",11.157450035
"523","16011","2011",16.190621659
"524","16013","2011",11.46821464
"525","16015","2011",5.4320634694
"526","16017","2011",9.6224474805
"527","16019","2011",19.117479381
"528","16021","2011",10.723123453
"529","16023","2011",9.3945720251
"530","16025","2011",11.653966831
"531","16027","2011",16.553673355
"532","16029","2011",14.763352149
"533","16031","2011",16.801628199
"534","16033","2011",8.2730093071
"535","16035","2011",5.9990770651
"536","16037","2011",10.59663672
"537","16039","2011",17.547148588
"538","16041","2011",17.349849556
"539","16043","2011",15.417331207
"540","16045","2011",10.665388418
"541","16047","2011",14.857587751
"542","16049","2011",10.130599292
"543","16051","2011",18.882290239
"544","16053","2011",17.570392776
"545","16055","2011",12.402602044
"546","16057","2011",12.834509386
"547","16059","2011",9.7873141351
"548","16061","2011",10.752688172
"549","16063","2011",17.604952602
"550","16065","2011",26.913907285
"551","16067","2011",15.884834947
"552","16069","2011",11.402740213
"553","16071","2011",12.671594509
"554","16073","2011",11.116460239
"555","16075","2011",14.164305949
"556","16077","2011",16.866854076
"557","16079","2011",9.8382590217
"558","16081","2011",15.557306026
"559","16083","2011",15.111310996
"560","16085","2011",8.9579901153
"561","16087","2011",11.027420863
"562","17001","2011",12.100825327
"563","17003","2011",13.08803556
"564","17005","2011",9.9681806662
"565","17007","2011",11.272082194
"566","17009","2011",6.2314325049
"567","17011","2011",9.4274545873
"568","17013","2011",11.434204041
"569","17015","2011",9.0128334912
"570","17017","2011",13.351918421
"571","17019","2011",11.528303145
"572","17021","2011",10.134600158
"573","17023","2011",12.248792048
"574","17025","2011",10.525933723
"575","17027","2011",10.517436803
"576","17029","2011",9.3404037585
"577","17031","2011",13.791804734
"578","17033","2011",10.864896278
"579","17035","2011",10.753173994
"580","17037","2011",12.099525275
"581","17039","2011",11.105075744
"582","17041","2011",13.047623827
"583","17043","2011",11.644148568
"584","17045","2011",10.081574026
"585","17047","2011",11.042303962
"586","17049","2011",12.789441411
"587","17051","2011",10.604596823
"588","17053","2011",9.3698590945
"589","17055","2011",11.165509317
"590","17057","2011",10.110020815
"591","17059","2011",10.48540179
"592","17061","2011",10.884451813
"593","17063","2011",12.707849142
"594","17065","2011",10.78774228
"595","17067","2011",9.7138356524
"596","17069","2011",9.2882851504
"597","17071","2011",8.6544405522
"598","17073","2011",10.959448057
"599","17075","2011",10.506579281
"600","17077","2011",10.948965563
"601","17079","2011",12.731659736
"602","17081","2011",11.612303881
"603","17083","2011",9.0683175655
"604","17085","2011",8.2582582583
"605","17087","2011",9.8197101222
"606","17089","2011",13.701991348
"607","17091","2011",11.809444912
"608","17093","2011",14.841485527
"609","17095","2011",9.8658359923
"610","17097","2011",11.593299815
"611","17099","2011",10.890409754
"612","17101","2011",9.278685618
"613","17103","2011",9.7496927031
"614","17105","2011",11.228576211
"615","17107","2011",10.106848546
"616","17109","2011",9.362289924
"617","17111","2011",10.903214943
"618","17113","2011",12.614500512
"619","17115","2011",12.516311391
"620","17117","2011",10.404454865
"621","17119","2011",12.004922427
"622","17121","2011",12.50047736
"623","17123","2011",9.6322241681
"624","17125","2011",10.644873292
"625","17127","2011",11.871758912
"626","17129","2011",10.474915334
"627","17131","2011",9.0450725745
"628","17133","2011",9.3040115998
"629","17135","2011",10.006504228
"630","17137","2011",10.424884481
"631","17139","2011",11.307420495
"632","17141","2011",10.23685644
"633","17143","2011",13.813221226
"634","17145","2011",9.1524967473
"635","17147","2011",9.105067689
"636","17149","2011",11.666972085
"637","17151","2011",7.3562193491
"638","17153","2011",9.4121532365
"639","17155","2011",8.1748415082
"640","17157","2011",10.315597482
"641","17159","2011",13.154644269
"642","17161","2011",12.688643596
"643","17163","2011",13.12728881
"644","17165","2011",12.44754964
"645","17167","2011",12.126802199
"646","17169","2011",8.4005600373
"647","17171","2011",9.4732853354
"648","17173","2011",10.082452052
"649","17175","2011",10.16002032
"650","17177","2011",10.239231426
"651","17179","2011",12.206268243
"652","17181","2011",10.275809502
"653","17183","2011",13.357537994
"654","17185","2011",12.315478701
"655","17187","2011",10.914512363
"656","17189","2011",10.379677684
"657","17191","2011",11.49735022
"658","17193","2011",12.265734745
"659","17195","2011",11.218442777
"660","17197","2011",12.058976899
"661","17199","2011",12.030278454
"662","17201","2011",12.814132235
"663","17203","2011",11.457325334
"664","18001","2011",18.427018543
"665","18003","2011",14.712156202
"666","18005","2011",12.717077403
"667","18007","2011",10.948699137
"668","18009","2011",11.483855744
"669","18011","2011",12.139579034
"670","18013","2011",7.1987583793
"671","18015","2011",10.188360419
"672","18017","2011",13.119215414
"673","18019","2011",12.96964293
"674","18021","2011",12.143562236
