"","FIPS","YEAR","RDOMESTICMIG"
"462","13211","2011",0.4468275246
"463","13213","2011",-8.137088393
"464","13215","2011",13.763937345
"465","13217","2011",-3.519845246
"466","13219","2011",6.5871972684
"467","13221","2011",-15.46931469
"468","13223","2011",-2.988378142
"469","13225","2011",-5.750948008
"470","13227","2011",-2.48189576
"471","13229","2011",-4.841842028
"472","13231","2011",-8.737782508
"473","13233","2011",-10.74515864
"474","13235","2011",-8.400537634
"475","13237","2011",0.2356767458
"476","13239","2011",-24.97482377
"477","13241","2011",0.7376898014
"478","13243","2011",-15.75319987
"479","13245","2011",-9.061872173
"480","13247","2011",-5.235326154
"481","13249","2011",-1.788553259
"482","13251","2011",-9.063862174
"483","13253","2011",4.1156968103
"484","13255","2011",-4.79163415
"485","13257","2011",-13.76597837
"486","13259","2011",-8.381954146
"487","13261","2011",-21.86805041
"488","13263","2011",-4.078659869
"489","13265","2011",8.8028169014
"490","13267","2011",-6.128341616
"491","13269","2011",-37.172562
"492","13271","2011",-17.76502549
"493","13273","2011",-16.91510731
"494","13275","2011",-4.835622418
"495","13277","2011",18.105883798
"496","13279","2011",-6.42921435
"497","13281","2011",13.355434525
"498","13283","2011",-7.143898527
"499","13285","2011",3.8460681749
"500","13287","2011",3.2492997199
"501","13289","2011",-15.73033708
"502","13291","2011",0.7977101028
"503","13293","2011",-4.52069515
"504","13295","2011",-2.150053388
"505","13297","2011",4.02082765
"506","13299","2011",-3.058609573
"507","13301","2011",-16.40631818
"508","13303","2011",-7.132328468
"509","13305","2011",2.6504108137
"510","13307","2011",-5.049594229
"511","13309","2011",36.976274609
"512","13311","2011",6.5196688887
"513","13313","2011",-4.677509542
"514","13315","2011",-6.355703975
"515","13317","2011",-13.77504002
"516","13319","2011",-14.14621272
"517","13321","2011",-9.39727803
"518","16001","2011",11.124870378
"519","16003","2011",10.071761299
"520","16005","2011",-2.796095067
"521","16007","2011",-2.683438155
"522","16009","2011",-11.26577479
"523","16011","2011",-5.455061206
"524","16013","2011",-18.73613667
"525","16015","2011",-1.143592309
"526","16017","2011",-3.525782283
"527","16019","2011",-1.890844134
"528","16021","2011",-18.69672807
"529","16023","2011",-28.53166319
"530","16025","2011",-6.275212909
"531","16027","2011",0.5306001298
"532","16029","2011",-25.90823563
"533","16031","2011",-6.841900143
"534","16033","2011",-37.22854188
"535","16035","2011",-5.652976465
"536","16037","2011",-8.062658374
"537","16039","2011",-47.20482922
"538","16041","2011",-7.893400023
"539","16043","2011",-16.10085821
"540","16045","2011",0.8388507744
"541","16047","2011",-14.0790242
"542","16049","2011",9.6423776394
"543","16051","2011",-10.08832039
"544","16053","2011",-8.540545349
"545","16055","2011",11.373221817
"546","16057","2011",6.1776061776
"547","16059","2011",4.8936570676
"548","16061","2011",-3.933910307
"549","16063","2011",-22.82840008
"550","16065","2011",-16.05298013
"551","16067","2011",-2.978406552
"552","16069","2011",3.5808159689
"553","16071","2011",-19.00739176
"554","16073","2011",-11.37905379
"555","16075","2011",-8.542847025
"556","16077","2011",-22.74469716
"557","16079","2011",-2.361182165
"558","16081","2011",-11.91413942
"559","16083","2011",-1.644768544
"560","16085","2011",-16.9892916
"561","16087","2011",-3.544528135
"562","17001","2011",-0.029768328
"563","17003","2011",-25.80565502
"564","17005","2011",-5.012249036
"565","17007","2011",-3.825116417
"566","17009","2011",-3.912759945
"567","17011","2011",-8.047827087
"568","17013","2011",-11.43420404
"569","17015","2011",-8.425040003
"570","17017","2011",-5.86897513
"571","17019","2011",-7.515880448
"572","17021","2011",-0.403080688
"573","17023","2011",-4.924137507
"574","17025","2011",-5.807411709
"575","17027","2011",2.1351187495
"576","17029","2011",-4.893478463
"577","17031","2011",-5.96729219
"578","17033","2011",-0.808550421
"579","17035","2011",1.8072561334
"580","17037","2011",-13.8171235
"581","17039","2011",-2.353793228
"582","17041","2011",-10.43809906
"583","17043","2011",-1.161267496
"584","17045","2011",-4.010948806
"585","17047","2011",-11.48996493
"586","17049","2011",-1.54758081
"587","17051","2011",7.459165562
"588","17053","2011",-8.153923181
"589","17055","2011",1.9483439077
"590","17057","2011",-1.973346309
"591","17059","2011",-9.762270632
"592","17061","2011",-4.036617891
"593","17063","2011",-6.204303113
"594","17065","2011",0
"595","17067","2011",-5.723286952
"596","17069","2011",-1.625449901
"597","17071","2011",-12.77560272
"598","17073","2011",-3.911252296
"599","17075","2011",-4.628300198
"600","17077","2011",-7.006675391
"601","17079","2011",1.1294214282
"602","17081","2011",-1.083815029
"603","17083","2011",-4.228975019
"604","17085","2011",1.4131778838
"605","17087","2011",19.168074158
"606","17089","2011",-3.388789174
"607","17091","2011",-2.934735191
"608","17093","2011",0.8958296545
"609","17095","2011",-1.836825511
"610","17097","2011",-11.26466412
"611","17099","2011",-2.498284629
"612","17101","2011",1.3001979847
"613","17103","2011",-9.861437032
"614","17105","2011",-3.219201895
"615","17107","2011",-0.660578336
"616","17109","2011",-4.481620751
"617","17111","2011",-7.460946608
"618","17113","2011",-3.334125775
"619","17115","2011",-3.368386832
