FIPS,GDP_2018
22067,570321
22069,1294247
22071,21609258
22073,6707535
22075,3804309
22077,792508
22079,5186653
22081,1133294
22083,530794
22085,822600
22087,2144483
22089,8010027
22091,188848
22093,3317251
22095,4138944
22097,2277474
22099,1159788
22101,2200061
22103,10955637
22105,3814912
22107,136621
22109,5136582
22111,479072
22113,1572909
22115,1817486
22117,1052789
22119,1093433
22121,2091907
22123,225045
22125,810464
22127,437880
23001,4245859
23003,2346365
23005,19822296
23007,963345
23009,2175791
23011,5098090
23013,1581335
23015,1048044
23017,1555846
23019,5894779
23021,506828
23023,1621450
23025,1555681
23027,1168742
23029,956522
23031,7640798
24001,2718928
24003,46753558
24005,50199904
24009,4126417
24011,1244212
24013,5754185
24015,4431565
24017,5429136
24019,1172737
24021,12447559
24023,1175867
24025,11907795
24027,24805024
24029,854092
24031,85873309
24033,41606626
24035,1690498
24037,6775680
24039,862974
24041,1928638
24043,6510104
24045,4704077
24047,2620987
24510,43063264
25001,11777658
25003,6455126
25005,23846410
25007,1452448
25009,41946907
25011,2803987
25013,20358474
25015,7033444
25017,157570153
25019,1325827
25021,49153764
25023,23874731
25025,115432014
25027,39918939
26001,207030
26003,222063
26005,4225600
26007,974225
26009,540554
26011,411562
26013,224631
26015,1448677
26017,3323459
26019,484250
26021,6998979
26023,1259021
26025,5862167
26027,1015314
26029,1140329
26031,594224
26033,1025134
26035,1063955
26037,2032690
26039,387676
26041,1121257
26043,1210357
26045,4769094
26047,1574115
26049,14816441
26051,433576
26053,423856
26055,4742180
26057,1264703
26059,1449198
26061,1004338
26063,1461145
26065,15091399
26067,1424339
26069,719112
26071,292551
26073,2199148
26075,5791930
26077,12667073
26079,527636
26081,38699246
26083,43808
26085,214573
26087,2094823
26089,741635
26091,2879829
26093,6654894
26095,145945
26097,389718
26099,36708450
26101,789596
26103,2632208
26105,980528
26107,1146588
26109,689965
26111,5031139
26113,417391
26115,5356409
26117,1503044
26119,289216
26121,5695324
26123,1310022
26125,96474755
26127,646103
26129,535746
26131,114115
26133,668228
26135,187804
26137,954250
26139,13496108
26141,309174
26143,516095
26145,7590679
26147,4959313
26149,1885119
26151,1244696
26153,254761
26155,1540860
26157,1158029
26159,2627919
26161,22352248
26163,88263167
26165,1159503
27001,426133
27003,14295127
27005,1348690
27007,1614775
27009,1708920
27011,186902
27013,3737691
27015,1486887
27017,1180974
27019,5128012
27021,932829
27023,524558
27025,1461401
27027,1818881
27029,266174
27031,258198
27033,649399
27035,2491908
27037,26089802
27039,705708
27041,1797674
27043,430610
27045,609875
27047,1127476
27049,2727938
27051,255969
27053,126028039
27055,525507
27057,618962
27059,1039363
27061,2016296
27063,647436
27065,375002
27067,2198458
27069,192885
27071,509256
27073,227218
27075,589576
27077,184057
27079,949794
27081,287557
27083,1486864
27085,1735395
27087,153906
27089,323071
27091,1073506
27093,852898
27095,767462
27097,1208548
27099,1654673
27101,534136
27103,1538443
27105,1277755
27107,195621
27109,10825771
27111,2206797
27113,1639604
27115,654895
27117,735814
27119,1181441
27121,516192
27123,38905840
27125,171214
27127,866556
27129,773183
27131,2582377
27133,790972
27135,1141878
27137,9654833
27139,6585997
27141,3196194
27143,423045
27145,8139481
27147,2118762
27149,623857
27151,514667
27153,817283
27155,201067
27157,707140
27159,500275
27161,751426
27163,10956583
27165,444356
27167,258078
27169,2250185
27171,4383031
27173,484336
28001,882878
28003,1122370
28005,233196
28007,430462
28009,304521
28011,960041
28013,248504
28015,107033
28017,470444
28019,711873
28021,551765
28023,288631
28025,489906
28027,640344
28029,620966
28031,606423
28033,5265972
28035,3262848
28037,167155
28039,413730
28041,148094
28043,833876
28045,1322027
28047,7686685
28049,10911248
28051,257056
28053,155958
28055,12097
28057,524024
28059,6862087
28061,589641
28063,115158
28065,186669
28067,2486522
28069,333346
28071,1908589
28073,1520793
28075,2902064
28077,345335
28079,578214
28081,4396040
28083,1037817
28085,1075924
28087,2576577
28089,5697028
28091,825630
28093,593625
28095,916085
28097,171462
28099,963165
28101,486404
28103,204365
28105,1572936
28107,991323
28109,945657
28111,278894
28113,1020841
28115,871924
28117,533260
28119,91506
28121,5995994
28123,1081331
28125,84989
28127,611703
28129,436375
28131,315549
28133,605308
28135,246676
28137,456872
28139,584586
28141,476027
28143,484382
28145,984081
28147,266738
28149,2034911
28151,1306322
28153,679315
28155,165720
28157,134909
28159,495494
28161,254874
28163,717669
29001,738526
29003,261399
29005,279877
29007,890191
29009,1614354
29011,319162
29013,393044
29015,389750
29017,188738
29019,8419479
29021,4561897
29023,1324515
29025,221022
29027,1696514
29029,1416920
29031,3738910
29033,289735
29035,107887
29037,2428381
29039,240037
29041,271279
29043,1544766
29045,123750
29047,11056004
29049,377134
29051,4521304
29053,421943
29055,633691
29057,169148
29059,241573
29061,151273
29063,291477
29065,328043
29067,207343
29069,637905
29071,4128703
29073,443256
29075,197494
29077,14835232
29079,345786
29081,220565
29083,652055
29085,138356
29087,156526
29089,197182
29091,1125384
29093,422881
29095,42209777
29097,5110877
29099,4788709
29101,1689836
29103,102100
29105,1092751
29107,776955
29109,920407
29111,226435
29113,1114770
29115,393195
29117,527964
29119,732574
29121,545732
29123,264367
29125,172784
29127,1087236
29129,100277
29131,633375
29133,294263
29135,386400
29137,174664
29139,321409
29141,523519
29143,922015
29145,1985141
29147,631987
29149,195374
29151,389626
29153,126469
29155,380602
29157,1034189
29159,1535466
29161,1469069
29163,494011
29165,6340283
29167,763395
29169,1982872
29171,118795
29173,394596
29175,1091462
29177,498775
29179,240799
29181,207493
29183,15628464
29185,138271
29186,584384
29187,1610677
29189,72384575
29195,813981
29197,97568
29199,118488
29201,1462043
29203,134958
29205,155600
29207,860760
29209,680822
29211,363101
29213,2259558
29215,500721
29217,792552
29219,783273
29221,363481
29223,202955
29225,669798
29227,54033
29229,308240
29510,26550978
30001,392264
30003,941609
30005,192792
30007,174558
30009,360897
30011,58423
30013,3441509
30015,264516
30017,429086
30019,90270
30021,417585
30023,236964
30025,223722
30027,466263
30029,3771053
30031,5378344
30033,43619
30035,447184
30037,24843
30039,90473
30041,730170
30043,253931
30045,117382
30047,729540
30049,3050981
30051,205215
30053,525855
30055,98853
30057,419474
30059,58790
30061,93519
30063,4935345
30065,283869
30067,533012
30069,16552
30071,132121
30073,224214
30075,117108
30077,205084
30079,53038
30081,986334
30083,946643
30085,454497
30087,783685
30089,308768
30091,161930
30093,1348660
30095,567779
30097,204734
30099,254110
30101,331345
30103,107458
30105,283776
30107,84714
30109,43189
30111,9329253
31001,1763435
31003,436427
31005,20098
31007,48660
31009,39285
31011,398862
31013,591486
31015,134063
31017,248068
31019,2707541
31021,314809
31023,285276
31025,696064
31027,406746
31029,288687
31031,308375
31033,582248
31035,295514
31037,663659
31039,1057595
31041,737189
31043,1345133
31045,260737
31047,1479823
31049,92204
31051,192903
31053,1910484
31055,43577131
31057,192686
31059,348448
31061,73973
31063,85919
31065,241779
31067,858744
31069,80944
31071,76317
31073,95531
31075,37413
31077,83796
31079,3197885
31081,622743
31083,234220
31085,102133
31087,131333
31089,630396
31091,40576
31093,219519
31095,402269
31097,167467
31099,338180
31101,380743
31103,38584
31105,161411
31107,420589
31109,17178901
31111,2381199
31113,39515
31115,50609
31117,26716
31119,2233467
31121,374878
31123,617449
31125,129577
31127,624864
31129,237143
31131,1265627
31133,110733
31135,252657
31137,862595
31139,336431
31141,2362390
31143,316161
31145,475801
31147,347356
31149,99052
31151,914136
31153,7716168
31155,710374
31157,1630807
31159,760097
31161,247699
31163,97461
31165,113897
31167,260277
31169,360093
31171,40399
31173,392993
31175,260675
31177,1133759
31179,384512
31181,258596
31183,136683
31185,706208
32001,1064045
32003,107952490
32005,2372877
32007,2611385
32009,43905
32011,1442568
32013,1222121
32015,818976
32017,141840
32019,1504454
32021,188828
32023,1694148
32027,301651
32029,1587683
32031,23774123
32033,618954
32510,3223875
33001,2649173
33003,2028833
33005,3440427
33007,1127859
33009,6114443
33011,24742059
33013,8984361
33015,19551026
33017,5450969
33019,1456239
34001,12127107
34003,70625996
34005,25732157
34007,22588362
34009,4932455
34011,5929351
34013,49249129
34015,14298504
34017,42197908
34019,7018369
34021,29922293
34023,57021150
34025,33088911
34027,49540770
34029,19546553
34031,20206074
34033,4641912
34035,37853481
34037,4703001
34039,35107251
34041,3799230
35001,33583036
35003,83862
35005,1986724
35006,575489
35007,427114
35009,2779512
35011,82442
35013,6738913
35015,7043456
35017,1121451
35019,134093
35021,73644
35023,188624
35025,6267122
35027,584787
35028,2110152
35029,748123
35031,2240028
35033,103869
35035,2477491
35037,262629
35039,1208160
35041,640144
35043,3322691
35045,5582397
35047,600292
35049,6251668
35051,262627
35053,452359
35055,911513
35057,370736
35059,221547
35061,1449010
36001,28365207
36003,1317021
36005,37841726
36007,8306171
36009,2639142
36011,2645587
36013,4491848
36015,3493273
36017,2140382
36019,3447915
36021,2168967
36023,1663120
36025,1823312
36027,12900475
36029,51092971
36031,1491418
36033,1774857
36035,1738671
36037,2366290
36039,2201254
36041,210816
36043,1654726
36045,5789853
36047,87378679
36049,998856
36051,2096583
36053,2213157
36055,42054854
36057,1759671
36059,88446549
36061,620207899
36063,8719553
36065,9932038
36067,28071947
36069,5662866
36071,16718226
36073,1235711
36075,6093086
36077,2469589
36079,3525207
36081,92332983
