ID,NAME, Total,Occupied,Vacant
0500000US05069,"Jefferson County, Arkansas",30573,26264,4309
0500000US05071,"Johnson County, Arkansas",11475,9902,1573
0500000US05073,"Lafayette County, Arkansas",3916,2842,1074
0500000US05075,"Lawrence County, Arkansas",7489,6514,975
0500000US05077,"Lee County, Arkansas",3695,3103,592
0500000US05079,"Lincoln County, Arkansas",4366,3807,559
0500000US05081,"Little River County, Arkansas",6043,5098,945
0500000US05083,"Logan County, Arkansas",9744,8449,1295
0500000US05085,"Lonoke County, Arkansas",30112,27841,2271
0500000US05087,"Madison County, Arkansas",7611,6437,1174
0500000US05089,"Marion County, Arkansas",9461,7480,1981
0500000US05091,"Miller County, Arkansas",19779,17068,2711
0500000US05093,"Mississippi County, Arkansas",19075,16036,3039
0500000US05095,"Monroe County, Arkansas",3828,3040,788
0500000US05097,"Montgomery County, Arkansas",5435,3651,1784
0500000US05099,"Nevada County, Arkansas",4298,3427,871
0500000US05101,"Newton County, Arkansas",4086,3169,917
0500000US05103,"Ouachita County, Arkansas",11837,9944,1893
0500000US05105,"Perry County, Arkansas",4933,4085,848
0500000US05107,"Phillips County, Arkansas",8315,6890,1425
0500000US05109,"Pike County, Arkansas",5289,4128,1161
0500000US05111,"Poinsett County, Arkansas",10327,9254,1073
0500000US05113,"Polk County, Arkansas",9612,7992,1620
0500000US05115,"Pope County, Arkansas",26902,24196,2706
0500000US05117,"Prairie County, Arkansas",4071,3502,569
0500000US05119,"Pulaski County, Arkansas",190511,170622,19889
0500000US05121,"Randolph County, Arkansas",8562,7322,1240
0500000US05123,"St. Francis County, Arkansas",9565,8470,1095
0500000US05125,"Saline County, Arkansas",51879,48232,3647
0500000US05127,"Scott County, Arkansas",4851,3930,921
0500000US05129,"Searcy County, Arkansas",4705,3441,1264
0500000US05131,"Sebastian County, Arkansas",56749,51312,5437
0500000US05133,"Sevier County, Arkansas",6741,5731,1010
0500000US05135,"Sharp County, Arkansas",9499,7356,2143
0500000US05137,"Stone County, Arkansas",6784,5333,1451
0500000US05139,"Union County, Arkansas",18599,16182,2417
0500000US05141,"Van Buren County, Arkansas",9668,7012,2656
0500000US05143,"Washington County, Arkansas",100508,92548,7960
0500000US05145,"White County, Arkansas",33270,29705,3565
0500000US05147,"Woodruff County, Arkansas",3250,2775,475
0500000US05149,"Yell County, Arkansas",9246,7722,1524
0500000US06001,"Alameda County, California",621958,591636,30322
0500000US06003,"Alpine County, California",1540,530,1010
0500000US06005,"Amador County, California",18805,15678,3127
0500000US06007,"Butte County, California",90133,83268,6865
0500000US06009,"Calaveras County, California",27422,18758,8664
0500000US06011,"Colusa County, California",8099,7227,872
0500000US06013,"Contra Costa County, California",423342,407029,16313
0500000US06015,"Del Norte County, California",11090,9807,1283
0500000US06017,"El Dorado County, California",93467,75320,18147
0500000US06019,"Fresno County, California",338441,319296,19145
0500000US06021,"Glenn County, California",10895,10177,718
0500000US06023,"Humboldt County, California",62120,56422,5698
0500000US06025,"Imperial County, California",56625,52050,4575
0500000US06027,"Inyo County, California",9469,8046,1423
0500000US06029,"Kern County, California",301009,281498,19511
0500000US06031,"Kings County, California",46287,44100,2187
0500000US06033,"Lake County, California",34220,27622,6598
0500000US06035,"Lassen County, California",12216,9888,2328
0500000US06037,"Los Angeles County, California",3591981,3420628,171353
0500000US06039,"Madera County, California",49572,45607,3965
0500000US06041,"Marin County, California",111564,104167,7397
0500000US06043,"Mariposa County, California",9760,7372,2388
0500000US06045,"Mendocino County, California",41370,36280,5090
0500000US06047,"Merced County, California",87783,83464,4319
0500000US06049,"Modoc County, California",4752,3732,1020
0500000US06051,"Mono County, California",13589,5474,8115
0500000US06053,"Monterey County, California",143631,131789,11842
0500000US06055,"Napa County, California",55448,49738,5710
0500000US06057,"Nevada County, California",53627,42774,10853
0500000US06059,"Orange County, California",1129785,1074105,55680
0500000US06061,"Placer County, California",172356,152101,20255
0500000US06063,"Plumas County, California",15396,9216,6180
0500000US06065,"Riverside County, California",848549,763283,85266
0500000US06067,"Sacramento County, California",587551,564445,23106
0500000US06069,"San Benito County, California",20365,19484,881
0500000US06071,"San Bernardino County, California",731899,667836,64063
0500000US06073,"San Diego County, California",1228505,1158764,69741
0500000US06075,"San Francisco County, California",406628,371851,34777
0500000US06077,"San Joaquin County, California",251453,241119,10334
0500000US06079,"San Luis Obispo County, California",123715,107797,15918
0500000US06081,"San Mateo County, California",283693,269417,14276
0500000US06083,"Santa Barbara County, California",158279,148353,9926
0500000US06085,"Santa Clara County, California",688035,656063,31972
0500000US06087,"Santa Cruz County, California",106345,96261,10084
0500000US06089,"Shasta County, California",79380,72836,6544
0500000US06091,"Sierra County, California",2127,1456,671
0500000US06093,"Siskiyou County, California",22929,19219,3710
0500000US06095,"Solano County, California",162237,155924,6313
0500000US06097,"Sonoma County, California",204742,187701,17041
0500000US06099,"Stanislaus County, California",183140,176738,6402
0500000US06101,"Sutter County, California",34499,33062,1437
0500000US06103,"Tehama County, California",27341,24910,2431
0500000US06105,"Trinity County, California",8183,6290,1893
0500000US06107,"Tulare County, California",150652,141987,8665
0500000US06109,"Tuolumne County, California",31415,22711,8704
0500000US06111,"Ventura County, California",293080,279715,13365
0500000US06113,"Yolo County, California",80188,76594,3594
0500000US06115,"Yuba County, California",29458,27008,2450
0500000US08001,"Adams County, Colorado",186544,178525,8019
0500000US08003,"Alamosa County, Colorado",7064,6377,687
0500000US08005,"Arapahoe County, Colorado",262493,250206,12287
0500000US08007,"Archuleta County, Colorado",9495,5792,3703
0500000US08009,"Baca County, Colorado",1972,1575,397
0500000US08011,"Bent County, Colorado",2136,1805,331
0500000US08013,"Boulder County, Colorado",140848,132551,8297
0500000US08014,"Broomfield County, Colorado",31298,29682,1616
0500000US08015,"Chaffee County, Colorado",10921,8411,2510
0500000US08017,"Cheyenne County, Colorado",925,745,180
0500000US08019,"Clear Creek County, Colorado",5672,4391,1281
0500000US08021,"Conejos County, Colorado",3998,2896,1102
0500000US08023,"Costilla County, Colorado",2423,1594,829
0500000US08025,"Crowley County, Colorado",1509,1317,192
0500000US08027,"Custer County, Colorado",4175,2219,1956
0500000US08029,"Delta County, Colorado",14780,13075,1705
0500000US08031,"Denver County, Colorado",344980,317326,27654
0500000US08033,"Dolores County, Colorado",1319,932,387
0500000US08035,"Douglas County, Colorado",135643,129862,5781
0500000US08037,"Eagle County, Colorado",32967,20760,12207
0500000US08039,"Elbert County, Colorado",9805,9376,429
0500000US08041,"El Paso County, Colorado",287459,272683,14776
0500000US08043,"Fremont County, Colorado",20243,17871,2372
0500000US08045,"Garfield County, Colorado",24091,22364,1727
0500000US08047,"Gilpin County, Colorado",3516,2608,908
0500000US08049,"Grand County, Colorado",16633,7006,9627
0500000US08051,"Gunnison County, Colorado",12131,7135,4996
0500000US08053,"Hinsdale County, Colorado",1329,375,954
0500000US08055,"Huerfano County, Colorado",4679,3195,1484
0500000US08057,"Jackson County, Colorado",1190,656,534
0500000US08059,"Jefferson County, Colorado",248429,237676,10753
0500000US08061,"Kiowa County, Colorado",736,581,155
0500000US08063,"Kit Carson County, Colorado",3410,2893,517
0500000US08065,"Lake County, Colorado",4303,3075,1228
0500000US08067,"La Plata County, Colorado",28198,23487,4711
0500000US08069,"Larimer County, Colorado",158769,144360,14409
0500000US08071,"Las Animas County, Colorado",8077,6373,1704
0500000US08073,"Lincoln County, Colorado",2358,1980,378
0500000US08075,"Logan County, Colorado",8668,7919,749
0500000US08077,"Mesa County, Colorado",67407,63133,4274
0500000US08079,"Mineral County, Colorado",1215,424,791
0500000US08081,"Moffat County, Colorado",6091,5352,739
0500000US08083,"Montezuma County, Colorado",12295,10806,1489
0500000US08085,"Montrose County, Colorado",18952,17482,1470
0500000US08087,"Morgan County, Colorado",11493,10519,974
0500000US08089,"Otero County, Colorado",8716,7676,1040
0500000US08091,"Ouray County, Colorado",3314,2297,1017
0500000US08093,"Park County, Colorado",14112,7810,6302
0500000US08095,"Phillips County, Colorado",2025,1814,211
0500000US08097,"Pitkin County, Colorado",13245,8027,5218
0500000US08099,"Prowers County, Colorado",5437,4730,707
0500000US08101,"Pueblo County, Colorado",71981,67095,4886
0500000US08103,"Rio Blanco County, Colorado",3274,2592,682
0500000US08105,"Rio Grande County, Colorado",6527,4789,1738
0500000US08107,"Routt County, Colorado",16511,10388,6123
0500000US08109,"Saguache County, Colorado",3739,2835,904
0500000US08111,"San Juan County, Colorado",779,369,410
0500000US08113,"San Miguel County, Colorado",6551,3597,2954
0500000US08115,"Sedgwick County, Colorado",1343,1086,257
0500000US08117,"Summit County, Colorado",31342,12939,18403
0500000US08119,"Teller County, Colorado",13316,10621,2695
0500000US08121,"Washington County, Colorado",2276,1933,343
0500000US08123,"Weld County, Colorado",119962,113995,5967
0500000US08125,"Yuma County, Colorado",4315,3852,463
0500000US09001,"Fairfield County, Connecticut",378479,354084,24395
0500000US09003,"Hartford County, Connecticut",385307,362021,23286
0500000US09005,"Litchfield County, Connecticut",87615,77502,10113
0500000US09007,"Middlesex County, Connecticut",76289,68685,7604
0500000US09009,"New Haven County, Connecticut",369178,343437,25741
0500000US09011,"New London County, Connecticut",122863,109572,13291
0500000US09013,"Tolland County, Connecticut",60876,56894,3982
0500000US09015,"Windham County, Connecticut",49590,45874,3716
0500000US10001,"Kent County, Delaware",72708,68290,4418
0500000US10003,"New Castle County, Delaware",233747,219571,14176
0500000US10005,"Sussex County, Delaware",142280,98514,43766
0500000US11001,"District of Columbia, District of Columbia",350364,312448,37916
0500000US12001,"Alachua County, Florida",123359,112723,10636
0500000US12003,"Baker County, Florida",9809,9087,722
0500000US12005,"Bay County, Florida",102971,70134,32837
0500000US12007,"Bradford County, Florida",10723,9462,1261
0500000US12009,"Brevard County, Florida",288794,257026,31768
0500000US12011,"Broward County, Florida",860329,756657,103672
0500000US12013,"Calhoun County, Florida",5628,4784,844
0500000US12015,"Charlotte County, Florida",110046,85846,24200
0500000US12017,"Citrus County, Florida",81687,69438,12249
0500000US12019,"Clay County, Florida",85049,78939,6110
0500000US12021,"Collier County, Florida",228390,157921,70469
0500000US12023,"Columbia County, Florida",29775,26424,3351
0500000US12027,"DeSoto County, Florida",15548,11941,3607
0500000US12029,"Dixie County, Florida",9276,6248,3028
0500000US12031,"Duval County, Florida",435033,399759,35274
0500000US12033,"Escambia County, Florida",145390,128160,17230
0500000US12035,"Flagler County, Florida",55565,48450,7115
